CompanyNumber,tm_has_any,tm_count_total,tm_count_12m,tm_first_date,tm_latest_date,tm_days_since_latest,tm_value_total,tm_value_max,tm_value_count,tm_types,tm_match_method,tm_max_confidence,tm_min_confidence
00008848,1,8,0,1989-09-29,2014-12-05,4256,8.0,1.0,8,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00009433,1,11,0,1992-06-13,2015-11-20,3906,11.0,1.0,11,trademark_registered,name_postcode_area,0.85,0.85
00013067,1,12,0,1953-06-09,2016-10-11,3580,12.0,1.0,12,trademark_dead|trademark_expired|trademark_registered,name_postcode_area,0.85,0.85
00019802,1,30,0,1962-03-23,2004-12-09,7904,30.0,1.0,30,trademark_dead|trademark_expired|trademark_registered,name_postcode_area,0.85,0.85
00024511,1,1,0,1988-10-03,1988-10-03,13815,1.0,1.0,1,trademark_dead,name_postcode_area,0.85,0.85
00026018,1,339,0,1876-03-08,2017-06-30,3318,339.0,1.0,339,trademark_dead|trademark_registered|trademark_withdrawn,name_postcode_area,0.85,0.85
00026233,1,17,0,1914-04-24,2016-11-23,3537,17.0,1.0,17,trademark_dead|trademark_registered|trademark_removed,name_postcode_area,0.85,0.85
00026306,1,10,0,1982-10-09,2010-06-02,5903,10.0,1.0,10,trademark_registered,name_postcode_area,0.85,0.85
00027657,1,1477,0,1885-08-24,2018-01-16,3118,1477.0,1.0,1477,trademark_dead|trademark_examination|trademark_expired|trademark_refused|trademark_registered|trademark_removed,name_postcode_area,0.85,0.85
00028073,1,3,0,2010-04-24,2012-07-19,5125,3.0,1.0,3,trademark_refused|trademark_registered,name_postcode_area,0.85,0.85
00029043,1,1,0,2002-12-23,2002-12-23,8621,1.0,1.0,1,trademark_registered,name_postcode_area,0.85,0.85
00030037,1,1,0,1967-05-17,1967-05-17,21625,1.0,1.0,1,trademark_registered,name_postcode_area,0.85,0.85
00030177,1,44,0,1883-01-30,2017-08-21,3266,44.0,1.0,44,trademark_dead|trademark_expired|trademark_opposed|trademark_registered|trademark_withdrawn,name_postcode_area,0.85,0.85
00030226,1,15,0,1993-04-26,2017-10-24,3202,15.0,1.0,15,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00030635,1,3,0,1993-06-03,2017-02-17,3451,3.0,1.0,3,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00031114,1,30,0,1991-10-03,2017-12-14,3151,30.0,1.0,30,trademark_application_published|trademark_dead|trademark_opposed|trademark_registered|trademark_removed,name_postcode_area,0.85,0.85
00031942,1,7,0,1979-10-10,2002-01-12,8966,7.0,1.0,7,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00033672,1,36,0,1928-10-23,1998-04-07,10342,36.0,1.0,36,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00035630,1,1,0,2015-01-05,2015-01-05,4225,1.0,1.0,1,trademark_registered,name_postcode_area,0.85,0.85
00036721,1,28,0,1907-07-05,1998-09-09,10187,28.0,1.0,28,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00037545,1,2,0,1970-10-09,1989-10-07,13446,2.0,1.0,2,trademark_registered,name_postcode_area,0.85,0.85
00039091,1,3,0,1993-04-23,2013-10-23,4664,3.0,1.0,3,trademark_registered,name_postcode_area,0.85,0.85
00041424,1,4174,0,1876-01-03,2018-01-11,3123,4174.0,1.0,4174,trademark_application_published|trademark_cancelled|trademark_dead|trademark_examination|trademark_expired|trademark_refused|trademark_registered|trademark_removed|trademark_withdrawn,name_postcode_area,0.85,0.85
00041495,1,131,0,1907-07-22,2018-01-15,3119,131.0,1.0,131,trademark_application_published|trademark_dead|trademark_examination|trademark_expired|trademark_refused|trademark_registered|trademark_removed|trademark_withdrawn,name_postcode_area,0.85,0.85
00042342,1,7,0,2015-10-13,2017-09-27,3229,7.0,1.0,7,trademark_application_published|trademark_registered,name_postcode_area,0.85,0.85
00043081,1,7,0,1933-01-24,2013-07-02,4777,7.0,1.0,7,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00043694,1,2,0,2016-07-01,2016-07-01,3682,2.0,1.0,2,trademark_registered,name_postcode_area,0.85,0.85
00045024,1,6,0,1951-03-08,1988-07-12,13898,6.0,1.0,6,trademark_dead|trademark_registered,name_postcode_area,0.85,0.85
00047601,1,10,0,1994-11-19,2017-05-19,3360,10.0,1.0,10,trademark_registered,name_postcode_area,0.85,0.85
00051456,1,36,0,1933-04-19,2016-12-14,3516,36.0,1.0,36,trademark_dead|trademark_expired|trademark_merged|trademark_registered|trademark_removed|trademark_withdrawn,name_postcode_area,0.85,0.85
00051908,1,4,0,1973-11-01,2012-11-27,4994,4.0,1.0,4,trademark_registered,name_postcode_area,0.85,0.85
00052457,1,1,0,2009-08-20,2009-08-20,6189,1.0,1.0,1,trademark_registered,name_postcode_area,0.85,0.85
00052962,1,1,0,2012-06-27,2012-06-27,5147,1.0,1.0,1,trademark_registered,name_postcode_area,0.85,0.85
