CompanyNumber,prop_has_any,prop_count_total,prop_count_12m,prop_first_date,prop_latest_date,prop_days_since_latest,prop_value_total,prop_value_max,prop_value_count,prop_types,prop_match_method,prop_max_confidence,prop_min_confidence
00000140,1,3,0,2017-11-23,2021-01-13,1995,,,0,property_title,company_number,1.0,1.0
00003543,1,1,0,1991-01-23,1991-01-23,12943,,,0,property_title,company_number,1.0,1.0
00004197,1,6,0,2000-12-04,2019-12-20,2385,290000.0,290000.0,1,property_title,company_number,1.0,1.0
00004599,1,2,0,1932-08-18,1973-01-02,19538,,,0,property_title,company_number,1.0,1.0
00007796,1,6,0,1994-09-12,2017-12-21,3114,,,0,property_title,company_number,1.0,1.0
00008614,1,3,0,2011-02-28,2011-02-28,5602,,,0,property_title,company_number,1.0,1.0
00009433,1,2,0,1986-10-28,2003-04-09,8484,,,0,property_title,company_number,1.0,1.0
00009844,1,1,0,2007-09-14,2007-09-14,6865,124500.0,124500.0,1,property_title,company_number,1.0,1.0
00011717,1,1,0,2017-05-02,2017-05-02,3347,,,0,property_title,company_number,1.0,1.0
00011785,1,2,0,1998-04-27,2020-05-12,2241,,,0,property_title,company_number,1.0,1.0
00011943,1,1,0,2000-02-17,2000-02-17,9631,,,0,property_title,company_number,1.0,1.0
00012592,1,1,0,2022-01-07,2022-01-07,1636,,,0,property_title,company_number,1.0,1.0
00013067,1,2,0,2008-02-08,2024-01-16,897,,,0,property_title,company_number,1.0,1.0
00013295,1,1,0,2012-12-20,2012-12-20,4941,,,0,property_title,company_number,1.0,1.0
00015793,1,9,0,1996-07-15,2011-12-20,5307,,,0,property_title,company_number,1.0,1.0
00016033,1,37,0,2006-11-02,2025-06-24,372,5130000.0,5130000.0,1,property_title,company_number,1.0,1.0
00017049,1,1,0,1992-12-21,1992-12-21,12245,,,0,property_title,company_number,1.0,1.0
00019300,1,8,0,2004-04-13,2010-11-22,5700,,,0,property_title,company_number,1.0,1.0
00019457,1,1,0,2008-05-22,2008-05-22,6614,,,0,property_title,company_number,1.0,1.0
00019772,1,1,0,1995-03-07,1995-03-07,11439,,,0,property_title,company_number,1.0,1.0
00019802,1,2,0,1985-06-27,2017-03-23,3387,,,0,property_title,company_number,1.0,1.0
00020726,1,1,0,2019-05-03,2019-05-03,2616,,,0,property_title,company_number,1.0,1.0
00022096,1,4,0,1976-02-11,2021-04-27,1891,,,0,property_title,company_number,1.0,1.0
00024511,1,10,0,1980-03-28,2022-03-24,1560,,,0,property_title,company_number,1.0,1.0
00024795,1,5,0,1999-11-01,2004-03-10,8148,,,0,property_title,company_number,1.0,1.0
00025334,1,4,0,1996-03-14,1997-07-04,10589,,,0,property_title,company_number,1.0,1.0
00026018,1,22,0,1996-06-13,2020-12-03,2036,,,0,property_title,company_number,1.0,1.0
00026091,1,1,0,1979-03-07,1979-03-07,17283,,,0,property_title,company_number,1.0,1.0
00026233,1,17,0,2000-04-18,2025-05-08,419,,,0,property_title,company_number,1.0,1.0
00026306,1,27,0,1981-10-15,2023-09-18,1017,,,0,property_title,company_number,1.0,1.0
00026330,1,11,0,1923-03-14,2016-11-24,3506,,,0,property_title,company_number,1.0,1.0
00026346,1,1,0,2016-11-07,2016-11-07,3523,,,0,property_title,company_number,1.0,1.0
00026538,1,262,0,1955-05-18,2024-12-04,574,,,0,property_title,company_number,1.0,1.0
