CompanyNumber,CompanyName,best_target,best_rank,best_score,sector,post_town,raw_hits,n_verified,fetch
07603206,ASH15 LTD,voluntary_exit,1,0.924467473259121,Fast growth & emerging,SWANLEY VILLAGE,0,0,cache
14772861,ASITE 3D REPO LTD,growth,6,0.4543367878609188,Fast growth & emerging,LONDON,0,0,cache
14182255,ATC183 LIMITED,insolvency,44,0.2334527852745441,"Technology, legal & professional",CHELTENHAM,0,0,cache
07296415,CAPITALINVEST HOLDING LTD,insolvency,4,0.4452615017524295,"Technology, legal & professional",LONDON,0,0,cache
03188994,CASTLE AIR LIMITED,lending,3,0.5318884425107343,Manufacturing,LISKEARD,0,0,cache
16389695,CCW CONS LIMITED,voluntary_exit,14,0.9161933840127096,Fast growth & emerging,MANCHESTER,0,0,cache
16389053,DAXIRUSH LTD,voluntary_exit,41,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
12686607,DE NOVO CONSULTING SERVICES LIMITED,growth,85,0.2898295184394195,Fast growth & emerging,LANGSTONE,0,0,cache
16392418,ELEVARE AFRICA LIMITED,voluntary_exit,48,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
10884713,ELITE PROPERTIES LIVERPOOL LIMITED,lending,53,0.4007268903783838,"Technology, legal & professional",LIVERPOOL,0,0,cache
09681748,ELIXIR DISTILLERS LTD,growth,96,0.2819890009711835,"Technology, legal & professional",LONDON,0,0,cache
10402530,ELLIS & FARAH LIMITED,insolvency,12,0.4242173385878755,"Technology, legal & professional",GERRARDS CROSS,0,0,cache
10158846,EN DASH LIMITED,insolvency,58,0.2053426566257471,Fast growth & emerging,LEIGHTON BUZZARD,0,0,cache
16387942,ENERGY NETWORK TECHNOLOGY LTD,voluntary_exit,88,0.9161933840127096,Fast growth & emerging,MILTON KEYNES,0,0,cache
16389126,ENGAGE AND MONETISE LIMITED,voluntary_exit,33,0.9161933840127096,Fast growth & emerging,SWANSEA,0,0,cache
06841737,GOVTECH SOLUTIONS LIMITED,growth,4,0.4599158392379402,Fast growth & emerging,BEDFORD,0,0,cache
14128047,GOWEB3 LTD,insolvency,42,0.2399578501829617,Fast growth & emerging,LONDON,0,0,cache
16388839,GPB ANALYSIS LTD,voluntary_exit,74,0.9161933840127096,Fast growth & emerging,MALMESBURY,0,0,cache
04781357,GRACE PRODUCTIONS LIMITED,insolvency,85,0.1767139046296831,"Technology, legal & professional",HARROW,0,0,cache
SC433541,GREEN MARINE (UK) LIMITED,lending,51,0.4017973608364297,"Technology, legal & professional",STROMNESS,0,0,cache
07046809,GROSVENOR POINT LIMITED,insolvency,16,0.4031018402509793,"Technology, legal & professional",LONDON,0,0,cache
11602096,JAKE GURR FINANCIAL SERVICES LIMITED,insolvency,18,0.3972533566923503,"Technology, legal & professional",WHITCHURCH,0,0,cache
SC010528,JAMES DONALDSON GROUP LTD,lending,77,0.3765665572305127,Manufacturing,GLENROTHES,0,0,cache
08526604,JAMJAR CONSULTING LIMITED,insolvency,63,0.2009617851873318,"Technology, legal & professional",MEPPERSHALL,0,0,cache
01295221,JET2 PLC,lending,11,0.4805157328965456,"Technology, legal & professional","YEADON, LEEDS",17,0,cache
16387533,LOUDTECH LIMITED,voluntary_exit,95,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
15123075,MILNE PUBLISHING LIMITED,insolvency,52,0.2140881492701007,"Technology, legal & professional",LONDON,0,0,cache
16385534,MK LABS LTD,voluntary_exit,65,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
14519863,RENAISSANCE PHARMA LTD,growth,36,0.3437549873669174,Fast growth & emerging,SURREY,0,0,cache
09577543,RGL ASSOCIATES LIMITED,insolvency,88,0.1763433311747713,"Technology, legal & professional",MANCHESTER,0,0,cache
16391130,RICHARDSON INTELLIGENT SYSTEMS LTD,voluntary_exit,99,0.9161933840127096,Fast growth & emerging,REDCAR,0,0,cache
16384510,STANKNETIC LTD,voluntary_exit,8,0.9161933840127096,Fast growth & emerging,MILDENHALL,0,0,cache
08369329,STARRY1HRCONSULTING LIMITED,insolvency,28,0.3679226067004264,"Technology, legal & professional",SOUTHAMPTON,0,0,cache
10377735,STATSBOMB SERVICES LIMITED,growth,12,0.4114612449914509,Fast growth & emerging,LONDON,0,0,cache
04797346,STEELSTRIP SERVICES LIMITED,growth,50,0.3212094351482678,Manufacturing,DUDLEY,0,0,cache
08637989,STRATUS ACCOUNTING LIMITED,insolvency,47,0.2286483003075367,"Technology, legal & professional",WINCHESTER,0,0,cache
11099346,TRL SOFTWARE LIMITED,growth,69,0.3042013915310501,Fast growth & emerging,WOKINGHAM,0,0,cache
12413758,TUPRAS TRADING LTD,lending,29,0.4351747276786033,Manufacturing,LONDON,0,0,cache
07753583,TWO CIRCLES LIMITED,growth,84,0.2903871176885984,Fast growth & emerging,LONDON,0,0,cache
14477477,APG BRISTOL LIMITED,growth,26,0.3664309640418759,"Technology, legal & professional",LONDON,0,0,cache
13604484,APG DIGITAL LIMITED,lending,94,0.3596970441213861,Fast growth & emerging,LONDON,0,0,cache
14477466,APG EXETER LIMITED,growth,31,0.3563168048767642,"Technology, legal & professional",LONDON,0,0,cache
13604507,APG TECHNOLOGIES LIMITED,lending,93,0.3596970441213861,Fast growth & emerging,LONDON,0,0,cache
05357998,APLX LTD,growth,8,0.427749018279136,Fast growth & emerging,LEEDS,0,0,cache
09654369,APOIDEA SOLUTIONS LIMITED,insolvency,1,0.4778962445219394,"Technology, legal & professional",HEMEL HEMPSTEAD,0,0,cache
01006739,APPLIED PHOTOPHYSICS LIMITED,insolvency,82,0.1785703546176229,Manufacturing,LEATHERHEAD,0,0,cache
16392947,ARDOUSCORP LTD,voluntary_exit,98,0.9161933840127096,Fast growth & emerging,CROYDON,0,0,cache
16388001,BRIDGADS LTD,voluntary_exit,13,0.9161933840127096,Fast growth & emerging,"WEST MIDLANDS, ENGLAND",0,0,cache
13827341,BRIDGEPARK CAPITAL LTD,lending,55,0.3968345719175465,Fast growth & emerging,LONDON,0,0,cache
11635643,BRIDGLAND AND BRIDGLAND C/O LIMITED,insolvency,27,0.369779953095269,Fast growth & emerging,ASHFORD,0,0,cache
15324653,BUDDY MOON LTD,insolvency,87,0.1763689809991799,"Technology, legal & professional",BRENTFORD,0,0,cache
11457392,CLOCKWISE GROUP LIMITED,lending,23,0.4422543597389985,"Technology, legal & professional",LONDON,9,0,cache
NI648509,DRINKSOLOGY LIMITED,lending,48,0.4022891520745528,"Technology, legal & professional",BELFAST,0,0,cache
16386302,DROPPSO LTD,voluntary_exit,32,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
03382084,DUNBIA (UK),lending,75,0.3779873927233795,Manufacturing,EXETER,0,0,cache
09281484,FOUNTAIN RIDGE LTD,insolvency,53,0.2133717081094769,"Technology, legal & professional",DUNMOW,0,0,cache
16386913,FUNKY CART LTD,voluntary_exit,64,0.9161933840127096,Fast growth & emerging,BROMSGROVE,0,0,cache
16387479,FUNZPAYMENT LTD,voluntary_exit,12,0.9161933840127096,Fast growth & emerging,"WEST MIDLANDS, ENGLAND",0,0,cache
16386444,FURYON CONSULTING LTD,voluntary_exit,43,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
