CompanyNumber,targets,best_target,best_rank,best_score,CompanyName,post_town,postcode,sector,segment,lifecycle,CompanyStatus
07603206,voluntary_exit,voluntary_exit,1,0.924467473259121,ASH15 LTD,SWANLEY VILLAGE,BR8 7PA,Fast growth & emerging,Small,Trading,Active
14772861,growth,growth,6,0.45433678786091886,ASITE 3D REPO LTD,LONDON,W1J 5JA,Fast growth & emerging,Subsidiary,Trading,Active
14182255,insolvency,insolvency,44,0.2334527852745441,ATC183 LIMITED,CHELTENHAM,GL51 6EP,"Technology, legal & professional",Micro,Trading,Active
07296415,insolvency,insolvency,4,0.4452615017524295,CAPITALINVEST HOLDING LTD,LONDON,W1W 5PF,"Technology, legal & professional",Micro,Trading,Active
03188994,lending,lending,3,0.5318884425107343,CASTLE AIR LIMITED,LISKEARD,PL14 3PX,Manufacturing,Large,Trading,Active
16389695,voluntary_exit,voluntary_exit,14,0.9161933840127097,CCW CONS LIMITED,MANCHESTER,M40 8WN,Fast growth & emerging,No Filings,Trading,Active
16389053,voluntary_exit,voluntary_exit,41,0.9161933840127097,DAXIRUSH LTD,LONDON,E6 2JA,Fast growth & emerging,No Filings,Trading,Active
12686607,growth,growth,85,0.2898295184394195,DE NOVO CONSULTING SERVICES LIMITED,LANGSTONE,NP18 2HJ,Fast growth & emerging,Small,Trading,Active
16392418,voluntary_exit,voluntary_exit,48,0.9161933840127097,ELEVARE AFRICA LIMITED,LONDON,NW1 6TH,Fast growth & emerging,No Filings,Trading,Active
10884713,lending,lending,53,0.4007268903783838,ELITE PROPERTIES LIVERPOOL LIMITED,LIVERPOOL,L3 9LQ,"Technology, legal & professional",Small,Trading,Active
09681748,growth,growth,96,0.28198900097118357,ELIXIR DISTILLERS LTD,LONDON,NW10 7LQ,"Technology, legal & professional",Medium,Trading,Active
10402530,insolvency,insolvency,12,0.4242173385878755,ELLIS & FARAH LIMITED,GERRARDS CROSS,SL9 7HW,"Technology, legal & professional",Small,Trading,Active
10158846,insolvency,insolvency,58,0.2053426566257471,EN DASH LIMITED,LEIGHTON BUZZARD,LU7 2SY,Fast growth & emerging,Micro,Trading,Active
16387942,voluntary_exit,voluntary_exit,88,0.9161933840127097,ENERGY NETWORK TECHNOLOGY LTD,MILTON KEYNES,MK10 7HZ,Fast growth & emerging,No Filings,Trading,Active
16389126,voluntary_exit,voluntary_exit,33,0.9161933840127097,ENGAGE AND MONETISE LIMITED,SWANSEA,SA7 9LA,Fast growth & emerging,No Filings,Trading,Active
