CompanyNumber,grant_has_any,grant_n_organisations,grant_n_projects,grant_max_confidence,grant_min_confidence,grant_match_method,grant_source_date,grant_has_date
00008614,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00009433,1,2,7,0.9,0.9,name_postcode,2026-08-11,0
00013067,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00016033,1,1,10,0.9,0.9,name_postcode,2026-08-11,0
00020535,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00023307,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00026233,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00026306,1,1,2,0.8,0.8,name_postcode_area,2026-08-11,0
00029140,1,2,55,0.9,0.9,name_postcode,2026-08-11,0
00030177,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00030226,1,2,3,0.9,0.9,name_postcode,2026-08-11,0
00031114,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00033774,1,1,85,0.9,0.9,name_postcode,2026-08-11,0
00035630,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00037545,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00039811,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00040000,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00041424,1,1,13,0.9,0.9,name_postcode,2026-08-11,0
00051908,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00059837,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00063230,1,2,11,0.9,0.9,name_postcode,2026-08-11,0
00063604,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00064647,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00069842,1,1,2,0.8,0.8,name_postcode_area,2026-08-11,0
00071835,1,1,9,0.9,0.9,name_postcode,2026-08-11,0
00072349,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00073975,1,1,0,0.8,0.8,name_postcode_area,2026-08-11,0
00074096,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00074484,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00076959,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00079590,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00082548,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00083405,1,2,235,0.9,0.9,name_postcode,2026-08-11,0
00083758,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00084301,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00084559,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00086011,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00087249,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00087911,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00088929,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00093994,1,1,9,0.9,0.9,name_postcode,2026-08-11,0
00096056,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00097216,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00097913,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00098381,1,2,7,0.9,0.9,name_postcode,2026-08-11,0
00100674,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00102498,1,1,13,0.9,0.9,name_postcode,2026-08-11,0
00103287,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00103709,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00104785,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00105680,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00106442,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00109587,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
