CompanyName,sector,segment,gnews_articles,gnews_has_coverage,gnews_sources
INTEQ CONTROLS LIMITED,Fast growth & emerging,Medium,0,False,
AVEVA FINANCE LIMITED,Fast growth & emerging,Medium,0,False,
TOTAL RECRUIT LTD,Fast growth & emerging,Medium,0,False,
LANTRONIX UK LIMITED,Fast growth & emerging,Medium,0,False,
ADVANIA UK (SERVIUM) LIMITED,Fast growth & emerging,Medium,0,False,
RADIO COMPUTING SERVICES (UK) LIMITED,Fast growth & emerging,Medium,0,False,
ALCHEMY TECHNOLOGY SERVICES LIMITED,Fast growth & emerging,Medium,0,False,
VELA SOFTWARE LIMITED,Fast growth & emerging,Medium,1,True,PR Newswire UK
AUTHORITY DIGITAL LTD,Fast growth & emerging,Micro,0,False,
COASTER LIMITED,Fast growth & emerging,Micro,10,True,"LADbible, The Sun, Stoke Sentinel, The Sun U.S Edition"
CODEMONKEY LTD,Fast growth & emerging,Micro,0,False,
NELLURI TECH LIMITED,Fast growth & emerging,Micro,0,False,
XEROCRYPT LTD,Fast growth & emerging,Micro,0,False,
TH COMMUNICATIONS LIMITED,Fast growth & emerging,Micro,0,False,
J.C. COMPUTER SERVICES (UK) LIMITED,Fast growth & emerging,Micro,0,False,
AMSA SOLUTIONS LTD,Fast growth & emerging,Micro,0,False,
MONTEDIN LTD,Fast growth & emerging,Small,0,False,
MALUI CONSULTING LTD,Fast growth & emerging,Small,0,False,
UX SEQUENCE LTD,Fast growth & emerging,Small,0,False,
NETOVA TECHNOLOGY LTD,Fast growth & emerging,Small,0,False,
VEREMARK LTD,Fast growth & emerging,Small,0,False,
APH10 LIMITED,Fast growth & emerging,Small,0,False,
TYRRELL-LEWIS ASSOCIATES LIMITED,Fast growth & emerging,Small,0,False,
VIBRA AI LTD,Fast growth & emerging,Small,0,False,
PROAMPAC LINCOLN LIMITED,Manufacturing,Medium,0,False,
SPANSET LIMITED,Manufacturing,Medium,0,False,
THE TUBE & BRACKET COMPANY LIMITED,Manufacturing,Medium,0,False,
B P C BUILDING PRODUCTS LIMITED,Manufacturing,Medium,0,False,
SHERIDAN LIFTS LIMITED,Manufacturing,Medium,0,False,
IMPERIAL BRICKS LTD,Manufacturing,Medium,0,False,
SHEPCOTE DISTRIBUTORS LIMITED,Manufacturing,Medium,0,False,
STAHL CRANESYSTEMS LIMITED,Manufacturing,Medium,0,False,
AL NIKAH LUTON LTD,Manufacturing,Micro,0,False,
TYRRELL ENGINEERING LIMITED,Manufacturing,Micro,0,False,
RICH MAKES LTD,Manufacturing,Micro,0,False,
SWIFT ROPE ACCESS LTD,Manufacturing,Micro,0,False,
THREE J BEE MEDIA LIMITED,Manufacturing,Micro,0,False,
PECO SERVICES LIMITED,Manufacturing,Micro,0,False,
ISO FOODS LTD,Manufacturing,Micro,0,False,
FREEBIRD TECHNICAL SERVICES LIMITED,Manufacturing,Micro,0,False,
ASHTONS (SHEFFIELD) LIMITED,Manufacturing,Small,0,False,
R F X LIMITED,Manufacturing,Small,0,False,
WISEMAN'S ENGINEERING LTD,Manufacturing,Small,0,False,
JF MACHINE SERVICES LTD,Manufacturing,Small,0,False,
CARLSON MODELS LIMITED,Manufacturing,Small,0,False,
GW MURRANT LIMITED,Manufacturing,Small,0,False,
WOODLAND TILES LTD,Manufacturing,Small,0,False,
SPECIALISED COATINGS LIMITED,Manufacturing,Small,0,False,
H.F. COMMS LIMITED,"Technology, legal & professional",Medium,0,False,
B&G (EUROPE) HOLDING LTD,"Technology, legal & professional",Medium,0,False,
NIELSEN BOOK SERVICES LIMITED,"Technology, legal & professional",Medium,0,False,
BOSTON ENERGY LIMITED,"Technology, legal & professional",Medium,0,False,
THE EVENT BUSINESS LIMITED,"Technology, legal & professional",Medium,0,False,
BARONESS LIMITED,"Technology, legal & professional",Medium,10,True,"Liverpool Echo, Teessidelive, The Telegraph, The daily Star"
LEVEL PEAKS ASSOCIATES LTD,"Technology, legal & professional",Medium,0,False,
THE CONSUMER ENGAGEMENT GROUP LIMITED,"Technology, legal & professional",Medium,0,False,
DMM SOLUTIONS LIMITED,"Technology, legal & professional",Micro,0,False,
REACH PASSENGERS LTD,"Technology, legal & professional",Micro,0,False,
ACCOUNTSWISE ACCOUNTANTS LTD,"Technology, legal & professional",Micro,0,False,
BEHEMOTH PUBLISHING LTD,"Technology, legal & professional",Micro,0,False,
TAXFREEMAN LTD,"Technology, legal & professional",Micro,0,False,
LUCAS JONES WRITING LIMITED,"Technology, legal & professional",Micro,0,False,
REARDON PORT CONSULTING LIMITED,"Technology, legal & professional",Micro,0,False,
OWL TUTORS LIMITED,"Technology, legal & professional",Micro,0,False,
SPRING BUSINESS SERVICES LIMITED,"Technology, legal & professional",Small,0,False,
WELLS FILM CONSTRUCTION LIMITED,"Technology, legal & professional",Small,0,False,
LISA BEAUMONT DESIGN LTD,"Technology, legal & professional",Small,0,False,
BURCHETT SERVICES LIMITED,"Technology, legal & professional",Small,0,False,
AFFINITY MEDIA GROUP LTD,"Technology, legal & professional",Small,0,False,
HELEN BARTLETT LIMITED,"Technology, legal & professional",Small,0,False,
VOLTA ENERGY ASSETS LIMITED,"Technology, legal & professional",Small,0,False,
LIGHT & SOUND EQUIPMENT LONDON LTD,"Technology, legal & professional",Small,0,False,
