feature,mean_abs_shap,mean_shap
Mortgages.NumMortCharges,0.5745874371567028,-0.047497622641666674
segment,0.45737350441068747,0.016178917179545883
sector,0.1660876074487015,-0.003445003351076341
company_age_years,0.15105428913504532,0.024443883720461107
days_to_next_accounts_due,0.09137272146296944,-0.002943252531328434
months_since_last_confstmt,0.09032056458717716,0.007617868728615755
postcode_changed_12m,0.08994213141932707,-0.0035866503315851355
sic_changed_12m,0.08067227899852286,-0.005468791387864563
tier_rank,0.07351644644867701,0.002712608474538739
months_since_segment_change,0.07301776573908318,-0.02086305431633615
Mortgages.NumMortOutstanding,0.06943160657619102,-0.018566502983409953
accounts_stale_streak_months,0.05774153220104045,0.012166764609917807
months_since_last_accounts_filing,0.04741569138376448,0.020845636682476815
months_since_last_new_charge,0.035815789264602764,-0.011497298316667322
Mortgages.NumMortSatisfied,0.034955880097677035,-0.003222971502515227
name_changed_12m,0.027998338336734367,-0.002138188421195178
months_in_current_status,0.027381304504504538,-0.012506050296603278
segment_upgraded_12m,0.023648504726649543,0.0007786137694832828
months_since_last_award,0.01780348554698646,0.0046449252746622914
confstmt_late,0.01749453743347848,-0.0010946446033039702
d_charges_12m,0.01703129679362413,-0.008305662806627838
segment_downgraded_12m,0.015234197371570134,-0.0018392080672943382
debt_ratio,0.013775967591066012,0.0011717194266711297
ever_distressed_before,0.011968517768475585,-0.0036933941177159837
d_satisfied_12m,0.010682774327360403,0.0016749209850200654
d_outstanding_3m,0.008812018759788168,-0.000973704970515539
d_outstanding_12m,0.008473057092765813,-0.0018453667334704404
debt_ratio_trend_12m,0.0060869372107397995,-0.001694474046465869
d_outstanding_6m,0.005855305185844125,-0.0006322167630436974
d_charges_6m,0.0037486711103653387,-0.0010777913032551665
new_charge_events_12m,0.003635058754518328,0.0012832375954263827
d_charges_3m,0.0025375591350269198,-0.00048151461987370033
accounts_overdue_streak_months,0.0019835177507037294,-0.00031441238733186864
status_changed,0.0019028572604409925,-4.5208034175562857e-05
total_value_won_12m,0.0011245400215433435,0.00030532237283615823
accounts_overdue,0.0008767504176499263,-0.00011418224363941971
ever_won_contract,0.0006924516629817758,7.693009301327746e-05
d_contracts_12m,0.0003024996539734848,3.1741059875047405e-05
contracts_won_12m,9.332097789525716e-05,-1.951689869807909e-05
first_award_in_12m,3.4763095319820903e-05,8.977807118590621e-06
awards_with_value_12m,2.465254767613863e-05,-7.977001344906222e-06
