feature,mean_abs_shap,mean_shap
months_since_last_confstmt,0.3815367596133157,0.1251359125045119
accounts_stale_streak_months,0.3168444346994246,0.12689315916211344
days_to_next_accounts_due,0.2996405457080874,0.07984246791676475
company_age_years,0.19232170793621411,0.003329319833773169
months_since_last_accounts_filing,0.1793413845089605,0.10237935275680414
segment,0.1670924740439426,-0.0045290455761151805
confstmt_late,0.12679774659372547,0.0589251998168001
sector,0.08389947425463541,0.009907839977434593
months_in_current_status,0.07986603026734933,0.07471479063927147
Mortgages.NumMortCharges,0.06829705007466194,0.02086205890432541
ever_distressed_before,0.050838488380875645,0.023461400793342274
tier_rank,0.04481248671339869,0.004203636874155109
segment_upgraded_12m,0.044498187924396644,0.011969415682427792
months_since_segment_change,0.04208188646469636,0.030080683289232277
Mortgages.NumMortOutstanding,0.04072623574115541,0.010400479240218663
debt_ratio,0.029700758287197412,0.008045012757706407
months_since_last_new_charge,0.018974993149939837,0.0019966920986029557
d_charges_6m,0.017097784570523408,0.005103026362330628
name_changed_12m,0.016796612575372252,0.0007212359975030589
months_since_last_award,0.01645535401558092,0.003805146892894361
postcode_changed_12m,0.016259023977189674,0.00775659986729847
segment_downgraded_12m,0.01539100338883549,-0.0023309785671286128
sic_changed_12m,0.013013022769888848,0.0024367440823367696
d_charges_12m,0.009891412097124193,0.0017452276887604662
d_outstanding_6m,0.009756321103614171,0.0018815293914303407
accounts_overdue_streak_months,0.00849820160057808,0.0011299938843907875
accounts_overdue,0.00794380588322403,0.003125054158212543
d_outstanding_3m,0.0066641548904412045,0.0004480264059952129
debt_ratio_trend_12m,0.005454782243589336,-0.0035459390840585667
total_value_won_12m,0.005017089845539605,0.0012560489798495373
Mortgages.NumMortSatisfied,0.004704376473112099,-0.002013697687489614
status_changed,0.004412837579996923,-1.2165292558147544e-05
d_outstanding_12m,0.0038174404736459958,0.0013968277880093438
d_charges_3m,0.0027362374466438767,-0.00039560651004321367
ever_won_contract,0.0017364497095456429,0.00044031092517878527
d_satisfied_12m,0.0009032971170186619,-0.0003989274619059946
new_charge_events_12m,0.0005856788936781257,0.00011555149245785273
d_contracts_12m,0.0002604207213623314,3.763617774609784e-05
awards_with_value_12m,0.0002395492992046118,8.674342107832212e-05
contracts_won_12m,0.00021714305893984575,0.00011194808188941892
first_award_in_12m,0.00010208950655170064,-4.4320540633194865e-05
