feature,mean_abs_shap,mean_shap
segment,0.5847404496254264,-0.024565137309359757
company_age_years,0.30263740871544137,-0.04826757185057558
months_since_last_accounts_filing,0.21872484979914178,0.09337383221947508
months_since_last_confstmt,0.18209179946933188,-0.020701492286517763
segment_upgraded_12m,0.16228407224525165,-0.032688843017954036
tier_rank,0.14561236861337917,0.008996772445904851
Mortgages.NumMortCharges,0.13025315087334785,-0.0015392757052204752
days_to_next_accounts_due,0.11577971350982094,-0.0063216258630310555
sector,0.07127650957329851,-0.0020588535093928042
months_since_segment_change,0.054239635535534444,-0.014742449513807722
postcode_changed_12m,0.03809936491753805,0.0036915348233788224
segment_downgraded_12m,0.03318370573239088,-0.0057818358755275115
months_in_current_status,0.030809002715955908,0.014950996216056056
accounts_stale_streak_months,0.023417008987930726,-0.0013953638386092154
confstmt_late,0.015753578481984477,0.0008335524613615805
primary_lender_group,0.015238452785054212,0.005025441968918354
Mortgages.NumMortSatisfied,0.015042416353668176,-0.0003434539355688116
debt_ratio_trend_12m,0.0122460458504417,0.0006374193110199454
d_outstanding_6m,0.01224465623045448,0.00861690802528447
name_changed_12m,0.011643741256464191,0.0036239053153093673
ever_distressed_before,0.007749418687802772,0.001995981000074237
sic_changed_12m,0.0076025225629339525,0.00028824671136033785
debt_ratio,0.006588229863712737,0.004633410841561569
accounts_overdue,0.005969737352165161,-0.0005441912295212788
d_outstanding_12m,0.0058940907409997184,-0.002130540083232613
n_distinct_lenders,0.005806878532405298,0.0013443493669057691
lbg_share_of_outstanding,0.005598160964534403,-0.0004371624608238729
n_charges_outstanding,0.005597372497795664,-0.0004680554624020794
d_outstanding_3m,0.005066678815065706,0.0038659846598946223
d_satisfied_12m,0.004418587020015064,0.0033748286496508915
months_since_last_lbg_satisfaction,0.00409446666015706,0.0005962759129648704
d_charges_6m,0.0035605697839842052,0.0013726370127384493
months_since_last_lbg_charge_created,0.003253727735621856,0.00028947508968089116
months_since_last_new_charge,0.0030141650608380426,0.0004604003335358312
months_since_last_award,0.0029294881055510432,0.0003093172927704489
Mortgages.NumMortOutstanding,0.002753339958676255,0.000928895032972993
n_competitor_lenders,0.0024738068918685606,0.0012726958319171022
d_charges_12m,0.0023189662034421177,-3.8412532320838184e-05
competitor_charge_created_6m,0.0022953007170459557,-1.0415804700476849e-05
total_value_won_12m,0.0017478376252531265,3.743183347422172e-05
accounts_overdue_streak_months,0.0017381861584569577,-0.00010652237094826533
d_charges_3m,0.0012318994805857009,0.00041887652276968024
new_charge_events_12m,0.00037843594107270353,-0.0001270940471529695
ever_won_contract,0.00020408902447587582,5.53314902198734e-05
ever_lbg_client,0.00010290642700281059,-1.6794078304937684e-05
status_changed,8.352508238909133e-05,2.6954890696405584e-05
d_contracts_12m,0.0,0.0
awards_with_value_12m,0.0,0.0
contracts_won_12m,0.0,0.0
first_award_in_12m,0.0,0.0
n_lbg_charges_outstanding,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
