feature,mean_abs_shap,mean_shap
tier_rank,1.0811760668520547,0.2575937667338435
segment,0.39364464854315834,0.18315221345698557
months_since_segment_change,0.21060198612363298,-0.18735977141664512
months_since_last_accounts_filing,0.20472989998962207,0.05829619730334049
Mortgages.NumMortCharges,0.16631562399387567,-0.026273863568974508
days_to_next_accounts_due,0.1517680302845847,-0.026135098649815062
company_age_years,0.09527581718430578,0.031284080083229554
months_in_current_status,0.09159167395558425,0.09127393107017362
sector,0.05764942595321263,0.0049559097352441265
months_since_last_confstmt,0.04611279213203415,0.02428046803578784
debt_ratio,0.027206042063237974,-0.0005779932113614952
Mortgages.NumMortSatisfied,0.02648016297826875,0.0012253622275079843
months_since_last_award,0.0209313544333825,0.003678591566009614
d_charges_6m,0.018010633564882327,0.01610218582122729
primary_lender_group,0.016982123150551497,0.002444681094639335
Mortgages.NumMortOutstanding,0.007965268401229108,-0.0003667784060586711
d_outstanding_6m,0.0074236194329278,0.0019296117783920161
d_charges_3m,0.006444653216725805,0.006119177841839614
months_since_last_lbg_charge_created,0.005875863572568144,-9.79201494366928e-05
ever_won_contract,0.004644900420375732,0.0010118081877058661
d_outstanding_3m,0.0044047631906717994,0.00404976852551123
ever_distressed_before,0.004303717997683881,-0.002889688195164586
accounts_stale_streak_months,0.0038691091815418618,-0.0005847779946237941
months_since_last_lbg_satisfaction,0.0037492701121792744,-0.0002848474930066681
status_changed,0.003542272623886455,0.001948675681481437
n_charges_outstanding,0.003471342058633308,0.000524233302495316
competitor_charge_created_6m,0.002806249075414019,0.00012782691447755384
total_value_won_12m,0.0027974377707482654,0.00043897364484711543
lbg_share_of_outstanding,0.002613459517823064,0.0006113499114754822
confstmt_late,0.002139776791718599,0.00016734326246183222
accounts_overdue,0.0017609991809305761,-0.00017769118612895757
months_since_last_new_charge,0.001702666516670101,0.0014287697298765033
n_distinct_lenders,0.0014019077918386033,0.00042169591725775904
n_competitor_lenders,0.0010931534253085665,0.0003419869272962699
accounts_overdue_streak_months,0.0010048343127421835,-0.0002573916036514477
n_lbg_charges_outstanding,0.0009171481628084202,-0.00012193676333709126
first_award_in_12m,0.0006525067899451439,2.381227421024397e-06
d_contracts_12m,0.0004763182396560368,-1.4058937672661899e-05
awards_with_value_12m,0.0002990307182858873,2.1792654860327122e-05
new_charge_events_12m,0.0002746947483036181,0.00016490718728413118
contracts_won_12m,0.00015866428289092066,-1.2276411432386904e-05
ever_lbg_client,6.0944521205266905e-05,-4.3088414255510084e-06
d_outstanding_12m,0.0,0.0
d_charges_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
sic_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
