feature,mean_abs_shap,mean_shap
tier_rank,1.0799902359818336,0.2600264817836579
segment,0.3936987685739293,0.1838442921944959
months_since_segment_change,0.21062574628153805,-0.1870968340455024
months_since_last_accounts_filing,0.2058818527967291,0.05800048090502595
Mortgages.NumMortCharges,0.16555182917217987,-0.0273087326158539
days_to_next_accounts_due,0.15260669777612823,-0.026157856273718486
company_age_years,0.09507470783708051,0.03134545557344926
months_in_current_status,0.09191445392794227,0.09160675389720065
sector,0.05777165861747096,0.0053057182962494825
months_since_last_confstmt,0.04594120813331887,0.02434180563812644
debt_ratio,0.027111447561331083,-0.0007405517128679311
Mortgages.NumMortSatisfied,0.02647893324264715,0.0012109034217438548
months_since_last_award,0.02089773225142247,0.0036643923641062255
d_charges_6m,0.018076315839309774,0.01610747161471083
primary_lender_group,0.01674896954096528,0.002231916828282207
Mortgages.NumMortOutstanding,0.00791688100894028,-0.0004071288344783993
d_outstanding_6m,0.007475170483844328,0.0019530346993176361
d_charges_3m,0.00645441608866131,0.006123318682855572
months_since_last_lbg_charge_created,0.005595885868480165,-8.730523193920163e-05
ever_won_contract,0.00461157098136349,0.000982579171662969
d_outstanding_3m,0.004418992421650401,0.004069372804411862
ever_distressed_before,0.004204997125231168,-0.0027892112297512772
accounts_stale_streak_months,0.004011584373206201,-0.0004907956921556619
months_since_last_lbg_satisfaction,0.0036378887208240998,-0.00028648180146358316
status_changed,0.0035467484539966425,0.001969768487544654
n_charges_outstanding,0.0034416105303322745,0.0004919614630780664
competitor_charge_created_6m,0.0028088715225912555,0.00014746620050047743
total_value_won_12m,0.002759590935365502,0.00041170167375158967
lbg_share_of_outstanding,0.002564517311351774,0.0005990440265943813
confstmt_late,0.0021390045857678282,0.00016797323888409263
accounts_overdue,0.0018116299676459054,-0.00011841120747397523
months_since_last_new_charge,0.0017652083159795371,0.0014806271157543733
n_distinct_lenders,0.0014055182646352557,0.0003817599441304723
n_competitor_lenders,0.0010755524550932574,0.00032539459008214695
accounts_overdue_streak_months,0.0010302035241960407,-0.000212016800398325
n_lbg_charges_outstanding,0.0008971360486706986,-9.002223606851738e-05
first_award_in_12m,0.0006178835072393008,3.9778948581872215e-05
d_contracts_12m,0.00044009311167531875,-1.773234506429733e-05
awards_with_value_12m,0.00028278111689061623,2.7989326242974543e-05
new_charge_events_12m,0.00027501269924199155,0.00016463082095602438
contracts_won_12m,0.0001514723438840052,-9.655815919838686e-06
ever_lbg_client,5.726237548146524e-05,-1.610674816533495e-06
d_outstanding_12m,0.0,0.0
d_charges_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
sic_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
