feature,mean_abs_shap,mean_shap
Mortgages.NumMortCharges,0.5658879284765147,-0.05178180112876023
segment,0.41245724076282053,0.002552302411405683
sector,0.16666946164804583,-0.0049582099910206985
company_age_years,0.13454617538567717,0.020295832805377632
tier_rank,0.10119834272422794,0.009525203737134712
sic_changed_12m,0.08775053345616553,-0.010814298796108315
postcode_changed_12m,0.08397018609110814,-0.0011393428241108403
months_since_last_confstmt,0.07996004125210243,0.01289108185474352
days_to_next_accounts_due,0.07792464068137143,-0.006543238267201332
accounts_stale_streak_months,0.06443753155085405,0.01612145557012219
months_since_segment_change,0.0633221199769606,-0.015588298615150546
Mortgages.NumMortOutstanding,0.05640936616312201,-0.014800365587229998
months_since_last_accounts_filing,0.03311283967907186,0.0066771913375752385
name_changed_12m,0.03168448981325304,-0.001393126568210973
debt_ratio,0.03091022220580194,-0.004316437830315563
months_since_last_new_charge,0.030457322658718814,-0.010010413307831692
Mortgages.NumMortSatisfied,0.026380336450831893,0.0009653824819214452
segment_upgraded_12m,0.02145762315173929,0.0015039085032634474
d_charges_12m,0.019293048053410127,-0.007805985216629823
primary_lender_group,0.017747649118741493,-0.0010695111041255478
months_in_current_status,0.015383539392548004,-0.00794183323037665
confstmt_late,0.015162679101517966,-0.00040814273178671397
months_since_last_award,0.013913547232010852,0.003365107304399708
ever_distressed_before,0.012293374072753566,-0.0023869150021596296
d_satisfied_12m,0.009577868252318999,0.0007825069473427632
d_outstanding_3m,0.007637860315956625,-0.0013626661889419068
segment_downgraded_12m,0.00569012078461392,0.00019620116058653904
d_outstanding_6m,0.005290663764554235,-0.0001043366996539013
months_since_last_lbg_charge_created,0.004963501762396774,0.0011652686047948827
debt_ratio_trend_12m,0.004436723757967429,0.0012805524673004112
d_outstanding_12m,0.004424350802833062,-0.0007082073453952341
d_charges_3m,0.004268193171069302,-0.0017155241874925549
new_charge_events_12m,0.004091279130940819,-6.541267834451045e-05
d_charges_6m,0.0030591794454609077,-0.00024106973613763265
n_distinct_lenders,0.0027690729798498957,-0.0008374284412884217
ever_won_contract,0.0024338042172597626,0.0004252844026565989
lbg_share_of_outstanding,0.0022027649327554352,0.0008790069314828682
months_since_last_lbg_satisfaction,0.002102682029291304,0.000574039137101115
accounts_overdue_streak_months,0.0019428545038583595,2.9305162902391054e-05
n_charges_outstanding,0.0016446900032803802,-0.0006574831291366092
n_competitor_lenders,0.0016384426298005192,-0.00041438991821823336
status_changed,0.0015743739966281507,-0.00036761481428590064
total_value_won_12m,0.001166772866426159,0.00035933615234170943
n_lbg_charges_outstanding,0.0009864036447509905,-2.2979684050600243e-05
accounts_overdue,0.00038611234599755545,3.132948288832507e-05
d_contracts_12m,0.0003651698412761585,6.425015621324121e-05
is_lbg_client,0.00019527845021242537,-5.6343467762596695e-05
competitor_charge_created_6m,0.00015874814056143045,-3.554602049279287e-05
contracts_won_12m,6.947106533548098e-05,-1.250203749933884e-05
ever_lbg_client,3.801949058672743e-05,9.506625885190236e-06
awards_with_value_12m,3.6935809572993514e-05,-5.3518351279593845e-06
first_award_in_12m,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
