feature,mean_abs_shap,mean_shap
tier_rank,1.0964466929380516,0.3071317490961626
segment,0.36808449380810243,0.13572240895267654
months_since_last_accounts_filing,0.21626612450313623,0.051826348002995945
months_since_segment_change,0.205900374166692,-0.17933245233262846
Mortgages.NumMortCharges,0.1703471659381409,-0.027729037599124887
days_to_next_accounts_due,0.15539497214475886,-0.028004559890163396
company_age_years,0.09740758434075415,0.032601621027139774
months_in_current_status,0.08664685564551508,0.08579998607488763
sector,0.05895351099481592,0.004423856506844777
months_since_last_confstmt,0.04654035731045634,0.022999054654944208
Mortgages.NumMortSatisfied,0.025446526979165555,0.001442689144533506
debt_ratio,0.023464335861761713,0.0015581989596947447
months_since_last_award,0.022165899425278645,0.004169240609732367
primary_lender_group,0.018654529588597785,0.002080766451314932
d_charges_6m,0.016988677697039267,0.015788584206073954
n_charges_outstanding,0.00794645997815549,0.0008201386663410305
Mortgages.NumMortOutstanding,0.00747655553379145,-0.0017552300329211263
months_since_last_lbg_charge_created,0.006420245454669065,0.000554823647229486
d_outstanding_6m,0.006109455680317412,0.003032193257970725
d_charges_3m,0.005735807439639299,0.00539288037881744
months_since_last_lbg_satisfaction,0.00457741130443845,-8.138058579036338e-05
ever_won_contract,0.004463615318257316,0.0010053765442857385
status_changed,0.00408397590242622,0.00270090133038473
accounts_stale_streak_months,0.004079001547766127,-0.0010911719944202976
d_outstanding_3m,0.004054159658969062,0.0031677362410074813
lbg_share_of_outstanding,0.003172677667833705,4.27639763689656e-05
competitor_charge_created_6m,0.003043142990751144,0.00014871712725088098
ever_distressed_before,0.0029601387907540254,-0.0019120640488580584
confstmt_late,0.0027264558320895162,8.069918713988794e-05
total_value_won_12m,0.0027043683327843894,0.00022547222546266275
months_since_last_new_charge,0.002085684612239145,0.0017798604221931794
n_distinct_lenders,0.0016949436901002415,0.00015708007567564425
n_lbg_charges_outstanding,0.0014161487208972324,-0.00011027819442386044
accounts_overdue,0.0012891723123703235,-1.6813381383595383e-05
n_competitor_lenders,0.001054104593318386,1.1111595552309583e-05
first_award_in_12m,0.000779420714480329,2.589753570758839e-05
d_contracts_12m,0.000602806460708949,-1.0191877916882725e-05
accounts_overdue_streak_months,0.0004972100072044444,-0.00011666491617871474
awards_with_value_12m,0.0003006052521428215,6.46178451949765e-06
new_charge_events_12m,0.0001878582414424002,6.16583299854883e-05
contracts_won_12m,0.0001773140751393581,-3.800901337944568e-05
lbg_charge_satisfied_6m,1.646967885139108e-05,-1.8305758136007049e-06
d_outstanding_12m,0.0,0.0
d_charges_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
sic_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
ever_lbg_client,0.0,0.0
