feature,mean_abs_shap,mean_shap
segment,0.6282177910922715,-0.048273180034151646
company_age_years,0.29268319298805817,-0.05058754260908836
months_since_last_accounts_filing,0.21880857504207016,0.13778489789573664
months_since_last_confstmt,0.18986213218594544,-0.00937765520427718
segment_upgraded_12m,0.1599015467766189,-0.044446660794532356
days_to_next_accounts_due,0.1469970353137378,-0.04771448311409329
tier_rank,0.13116969418953203,0.016667646825678447
Mortgages.NumMortCharges,0.12848803040233653,0.0007013114099084184
sector,0.07005033987554352,-0.001463811704209236
months_since_segment_change,0.05373216095045463,-0.013852106100918143
months_in_current_status,0.03692857050177074,0.014085169085128952
postcode_changed_12m,0.0367261503244407,0.0030391007635914686
accounts_stale_streak_months,0.019849508619121655,0.00741808522344749
segment_downgraded_12m,0.019731477184713568,-0.0029961291613902125
Mortgages.NumMortSatisfied,0.018380589294644825,-0.00010476084097234743
confstmt_late,0.016241017759877456,0.0010768617225518238
primary_lender_group,0.01539226198058764,0.004978337410551954
name_changed_12m,0.011353777969170831,0.003157736072195904
d_satisfied_12m,0.008875657724957626,-0.0007849380724250399
sic_changed_12m,0.008558885359647744,0.001702599942784967
d_outstanding_3m,0.00855795930202451,0.0038427787096053136
d_outstanding_12m,0.008341853070395746,0.005717056703837439
debt_ratio_trend_12m,0.007710277116275925,0.002332825432894314
ever_distressed_before,0.007117362188884268,0.00215455429624643
d_outstanding_6m,0.007031690953735831,0.005309994446305742
lbg_share_of_outstanding,0.006619272945022416,-0.001098451560721886
accounts_overdue,0.006011626859470866,-0.00024202835399679974
debt_ratio,0.005876157257081685,0.0035041997756852725
d_charges_12m,0.004467167597521059,-0.0021462727808022994
months_since_last_new_charge,0.004385027280366625,0.00047275750906477436
months_since_last_lbg_satisfaction,0.003990501746314991,0.0010062997005052113
months_since_last_lbg_charge_created,0.003982190624604538,0.000337833010694229
Mortgages.NumMortOutstanding,0.003960218810469974,-0.0008132463462602179
n_charges_outstanding,0.003897913904519018,0.0006410397573655129
n_distinct_lenders,0.0038223800295866584,0.001156834191118836
d_charges_6m,0.0033399386218601803,0.001858678495253607
months_since_last_award,0.0030078035445389056,9.961337475674836e-05
total_value_won_12m,0.0023818866182251748,-0.0001444815421912102
competitor_charge_created_6m,0.0017957960193876893,-0.0001767543036913072
accounts_overdue_streak_months,0.0013305252118216452,0.0002012010546714711
d_charges_3m,0.0012341838875668135,0.0001794444985830798
n_competitor_lenders,0.0008751305401844297,0.00032099480814959044
new_charge_events_12m,0.0007216446290333977,4.271368792241857e-05
status_changed,0.0003470862405429914,-0.00013937044831621853
n_lbg_charges_outstanding,0.00017464181277172016,9.483939606665304e-06
ever_lbg_client,0.00010756627968874338,7.811705857630036e-08
ever_won_contract,6.971729620681045e-05,5.100473017434969e-06
d_contracts_12m,0.0,0.0
contracts_won_12m,0.0,0.0
awards_with_value_12m,0.0,0.0
is_lbg_client,0.0,0.0
first_award_in_12m,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
