feature,mean_abs_shap,mean_shap
Mortgages.NumMortCharges,0.5605195360831088,-0.04717170572417684
segment,0.40234612412698834,0.010010545431768833
sector,0.16553981056951445,-0.0030973922166940156
company_age_years,0.13257510916122325,0.013392578386234495
tier_rank,0.10674741840396533,0.005603184218837968
sic_changed_12m,0.10003651899860326,-0.01759367622786507
days_to_next_accounts_due,0.07840386660223067,0.028065027378209293
postcode_changed_12m,0.07558772422522249,-0.001200344999968901
months_since_last_confstmt,0.07514384870876437,0.013000699286737602
accounts_stale_streak_months,0.06082584429717093,0.009846232000729087
months_since_segment_change,0.05996476503451547,-0.020263844142895008
Mortgages.NumMortOutstanding,0.041621226720380856,-0.009515486727968613
months_since_last_accounts_filing,0.03861161819418169,-0.01538115221553496
name_changed_12m,0.03570787055621104,-0.002738404991827205
months_since_last_new_charge,0.03095528130992887,-0.010097246465431024
Mortgages.NumMortSatisfied,0.027269855400113514,-0.00022460350290300006
debt_ratio,0.026054693435248365,-0.0011477135636946685
segment_upgraded_12m,0.02124120335806103,0.002402023622974731
confstmt_late,0.02043743605116329,-0.002660897536356
primary_lender_group,0.019948542894662673,-0.002758594602652041
lbg_share_of_outstanding,0.01643516640852805,-0.004305947546995806
months_in_current_status,0.015967664530561684,-0.006187312701051684
d_charges_12m,0.01594962678265268,-0.008316295688202286
months_since_last_award,0.014396456793705279,0.0033560871453955916
ever_distressed_before,0.012878993124427113,-0.0026854284982448184
d_satisfied_12m,0.010985730088264898,0.00026644842839597215
d_outstanding_3m,0.007854003041960565,-0.0009185952092502925
debt_ratio_trend_12m,0.007282455805345819,0.004185501662884915
d_outstanding_6m,0.005837641876604418,0.00020910424324378115
new_charge_events_12m,0.0050931826564439685,-0.0014149432620015553
months_since_last_lbg_charge_created,0.004651154142845093,0.00114728734601978
segment_downgraded_12m,0.0038135097254692915,0.0015084812368083627
n_charges_outstanding,0.0032694060625132484,-0.001121585411763853
d_outstanding_12m,0.0027743337697379348,0.0004643978919522917
n_distinct_lenders,0.002752284661213385,-0.0004146602323480228
d_charges_6m,0.0027007846014728363,-0.0007606575050536973
d_charges_3m,0.0023106698427216655,-0.0006804083075590173
months_since_last_lbg_satisfaction,0.002272248327848695,0.000222989601424074
n_competitor_lenders,0.0018959973999645692,-0.0002790260071970565
ever_won_contract,0.001895763554361912,0.00028878934943522253
status_changed,0.0012888266372812944,0.00030082337628085525
accounts_overdue_streak_months,0.0011874924421062228,-7.252574059682389e-05
total_value_won_12m,0.0010565557700974065,0.00034217700025387726
n_lbg_charges_outstanding,0.0006856667300232476,0.00015276624731917508
accounts_overdue,0.0004699802121238023,8.576588059416588e-05
competitor_charge_created_6m,0.0004616640187537959,-4.866626336117291e-05
d_contracts_12m,0.0003366256520314415,6.003296764312688e-05
contracts_won_12m,0.00021125628676917386,-5.957440569154949e-05
is_lbg_client,0.00012760123223298702,-1.3269466241327579e-05
awards_with_value_12m,5.41004476269622e-05,6.83041088372223e-06
first_award_in_12m,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
ever_lbg_client,0.0,0.0
