feature,mean_abs_shap,mean_shap
tier_rank,1.1407791434503927,0.32957780965089334
segment,0.3190382151549831,0.11357710728699046
months_since_last_accounts_filing,0.2182547182902477,0.05646744725828839
months_since_segment_change,0.2009977816178907,-0.17800732558162244
Mortgages.NumMortCharges,0.16692655559969666,-0.0275125895967658
days_to_next_accounts_due,0.1497135234432482,-0.025984517377601036
company_age_years,0.09522682599126285,0.021015007407012554
months_in_current_status,0.09241177882130612,0.09217551512401051
sector,0.058030340936306074,0.004874062258812247
months_since_last_confstmt,0.04582380431638797,0.020558276661545187
Mortgages.NumMortSatisfied,0.024522177074117326,0.0017292528608363745
months_since_last_award,0.02127274995473851,0.0039110616171299
debt_ratio,0.018328441000511297,-0.0006196423584460564
d_outstanding_6m,0.0176850777808635,0.017139516088068605
primary_lender_group,0.017409987905015245,0.0032530605543176733
d_charges_6m,0.016324951812627053,0.014041217614496632
n_charges_outstanding,0.011974803239436277,0.0018766516346298261
status_changed,0.008779953624351177,0.00831012012053588
d_charges_3m,0.006760682636858968,0.006395906586225642
lbg_share_of_outstanding,0.006435627343874146,-0.0013339785582171413
months_since_last_lbg_charge_created,0.005780117371930816,0.00018393251809111579
ever_won_contract,0.005330101687992622,0.0012294123114789301
Mortgages.NumMortOutstanding,0.005190855919369811,-0.00157525782218119
accounts_stale_streak_months,0.003740854646336521,-0.0009754041803971517
months_since_last_lbg_satisfaction,0.003641042756598949,-0.00039081066210774884
ever_distressed_before,0.0030155786564823985,-0.0018670314053494826
confstmt_late,0.002907683522164054,0.00020152775961949373
total_value_won_12m,0.0027846022411428858,0.00019680760131650488
competitor_charge_created_6m,0.00271625145629762,0.00022737484456773858
d_outstanding_3m,0.0017413679083759328,0.0003663704877766819
accounts_overdue,0.0017189646934854543,9.135080611394694e-05
n_distinct_lenders,0.001665113279184304,0.0002947512046219293
n_competitor_lenders,0.0016554722304179302,0.0005188122655821094
months_since_last_new_charge,0.0013869040753960885,0.0012420280929131197
n_lbg_charges_outstanding,0.0011616997021687407,-0.00020840679373491241
first_award_in_12m,0.0006114379216763416,5.683058333279674e-06
d_contracts_12m,0.0005055075478111586,5.11726095739813e-05
new_charge_events_12m,0.0005006702111537426,0.0003513087825386794
accounts_overdue_streak_months,0.00048241817053921033,-6.182285954889722e-05
contracts_won_12m,0.0002986896260310805,-5.441140558071728e-05
awards_with_value_12m,0.00015309325235917333,7.887805012674944e-05
ever_lbg_client,4.8587326476056646e-05,-1.0302087981591272e-05
is_lbg_client,3.6570374684770715e-05,6.18366658813778e-06
d_charges_12m,0.0,0.0
d_outstanding_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
sic_changed_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
