feature,mean_abs_shap,mean_shap
segment,0.6029856737161711,-0.030665763426269255
company_age_years,0.32859737162543146,-0.06350982375647178
months_since_last_accounts_filing,0.21281016343653225,0.1280172189345985
months_since_last_confstmt,0.20198718217368325,-0.012474327406418573
days_to_next_accounts_due,0.16590114093438257,-0.0500472573959183
segment_upgraded_12m,0.16459452918620615,-0.04028358563415122
Mortgages.NumMortCharges,0.13111970748327093,-0.001999480377687811
tier_rank,0.12792465099447226,0.024500624587731362
sector,0.07225983462730917,-0.0007101543755805368
months_since_segment_change,0.0558791187704249,-0.016290781106480166
months_in_current_status,0.049112268162371714,0.02467039457425529
postcode_changed_12m,0.04130504346293749,0.0038225699649910433
accounts_stale_streak_months,0.02422875700439296,-0.002079549173165005
segment_downgraded_12m,0.020038796437728733,-0.003553820790600131
Mortgages.NumMortSatisfied,0.018861894036365057,0.000427651724466473
primary_lender_group,0.016865127491372145,0.005375864973362319
confstmt_late,0.01601191570631077,0.0010194667882305608
name_changed_12m,0.012852570726407076,0.002860893196629592
debt_ratio_trend_12m,0.011823626906550297,0.0018529253196995074
d_outstanding_6m,0.009858493866853111,0.005265072968929231
ever_distressed_before,0.008415240522005827,0.002546510015307509
sic_changed_12m,0.008306742775296602,0.00165631890288053
d_charges_6m,0.00746131731298437,0.0023605313113798615
lbg_share_of_outstanding,0.007413380089442199,-0.0008342677852132194
debt_ratio,0.006372299489867923,0.0035215336569439184
d_outstanding_12m,0.006034877838112829,-2.935582402803953e-05
d_outstanding_3m,0.0059966575795489165,0.0024347589608910585
d_charges_12m,0.005525333087759902,0.0009070700275522629
accounts_overdue,0.00503621834888445,-0.0004467093825883188
months_since_last_lbg_satisfaction,0.004634413196126924,0.0010208096765292327
months_since_last_lbg_charge_created,0.004532934915940538,0.00012666450732945207
n_distinct_lenders,0.004530657345996738,0.0018593321009387862
d_charges_3m,0.0044971541924248735,-0.0004550550660455993
months_since_last_new_charge,0.003919711281317593,0.00022086861662361904
n_charges_outstanding,0.003865106276542854,-0.0002296715156074606
months_since_last_award,0.0034798274090340597,0.00016832281353199128
d_satisfied_12m,0.002629916212656756,-0.00043647222096064673
competitor_charge_created_6m,0.002540162056196686,-0.0004930346073030882
Mortgages.NumMortOutstanding,0.0025347935147275466,0.0008799159309843546
total_value_won_12m,0.002460480424106889,-0.00016778722650611825
accounts_overdue_streak_months,0.0019785480914559714,7.520164238769976e-05
n_competitor_lenders,0.0013106343455148624,0.0005548090145122818
new_charge_events_12m,0.001056779718971966,-0.0001308841231142837
status_changed,0.000481399858841511,0.00012819569840484665
n_lbg_charges_outstanding,0.00041790856197432513,5.319776772955418e-06
ever_won_contract,0.0003491574908445628,6.662868618088807e-05
d_contracts_12m,0.0001862178094609435,3.196172654357243e-05
contracts_won_12m,0.0,0.0
awards_with_value_12m,0.0,0.0
first_award_in_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
ever_lbg_client,0.0,0.0
