feature,mean_abs_shap,mean_shap
months_since_last_confstmt,0.3684576745978293,0.11523373708807867
accounts_stale_streak_months,0.3140550966839799,0.12344579349828962
days_to_next_accounts_due,0.2717330506170353,0.09083639309336275
company_age_years,0.19481654219709812,0.007249071190662579
months_since_last_accounts_filing,0.18851144251878024,0.08438656463572863
segment,0.17473826197000678,-0.009595411417744601
confstmt_late,0.1422350469545057,0.06482827971457776
months_in_current_status,0.08585315215456707,0.08004677494434174
sector,0.08283956472784959,0.009442021813167011
Mortgages.NumMortCharges,0.061966992846312026,0.020853241800050437
segment_upgraded_12m,0.04897121402695854,0.011414078490606175
tier_rank,0.04880446731367631,0.013426541636456549
ever_distressed_before,0.048516627435678604,0.02179710843610823
months_since_segment_change,0.03739529237619609,0.02280117809166302
accounts_overdue,0.03156790003808486,0.012720129594900634
n_distinct_lenders,0.02753551582121408,0.010586712485719508
primary_lender_group,0.027229329939088196,0.0026293814809465687
name_changed_12m,0.022094583497744433,0.005389804597136324
months_since_last_new_charge,0.019387123969699018,0.002636896198335621
n_charges_outstanding,0.018209792498504393,0.0038362786828690515
months_since_last_award,0.017233757434722396,0.0032300736009913374
postcode_changed_12m,0.015462876704348703,0.005820018339593211
segment_downgraded_12m,0.014591673169593308,-0.0026510935545239122
months_since_last_lbg_charge_created,0.012960127216086812,0.002737555751405069
accounts_overdue_streak_months,0.012291454850230926,0.003932601576306839
d_charges_6m,0.010852109420999278,0.0041480567377749
sic_changed_12m,0.009463310824165851,-0.0020281987225226855
d_outstanding_3m,0.008630381065733448,0.0018429033034295605
Mortgages.NumMortOutstanding,0.00845157202137157,0.002684711879771078
debt_ratio,0.006513641862258601,0.0008590178837927076
d_outstanding_6m,0.005797499361686789,0.0004558352998173909
lbg_share_of_outstanding,0.0057128966903097,0.0019199335486105172
d_outstanding_12m,0.005049455254215063,0.0030746207915154007
debt_ratio_trend_12m,0.0048705725557690845,0.0010601237369348697
total_value_won_12m,0.004604542327235217,0.001009399628094325
Mortgages.NumMortSatisfied,0.004312076195086376,-0.0014220984378736396
status_changed,0.003700030816770063,-0.0009770481816444786
months_since_last_lbg_satisfaction,0.0029842830026891773,0.00017455989591990453
d_charges_12m,0.002906763797588831,0.00021008762163593473
d_satisfied_12m,0.0018968619901866416,-0.0014346591361674972
ever_won_contract,0.0014606367715542083,0.00023318799301733152
d_charges_3m,0.0011794793734792072,-0.0005653932343657024
n_competitor_lenders,0.0011309177931517224,9.103615125723021e-05
new_charge_events_12m,0.0009231770771863083,0.00035524853857684085
competitor_charge_created_6m,0.0007995170103788912,-7.643030729140227e-05
n_lbg_charges_outstanding,0.000631882645279798,2.5825233099213465e-05
d_contracts_12m,0.0003791220521576629,-7.684935396340344e-05
contracts_won_12m,0.00022128364613754014,7.364183224203678e-05
ever_lbg_client,0.00012161873814826338,-5.6484514589944024e-05
first_award_in_12m,8.941527098569285e-05,-3.702371525545621e-05
awards_with_value_12m,6.331733590824378e-05,9.900828356350102e-06
is_lbg_client,1.5895755625577675e-05,1.1417458002348221e-05
lbg_charge_satisfied_6m,3.489266874195796e-06,-2.2910779077707703e-06
competitor_entered_12m,0.0,0.0
