feature,mean_abs_shap,mean_shap
tier_rank,1.0830369583504105,0.30372433757517503
segment,0.3525372341896906,0.13442205615515035
months_since_last_accounts_filing,0.21982466297441025,0.0680798843996833
months_since_segment_change,0.2037371741021817,-0.18067205843321016
Mortgages.NumMortCharges,0.16582895198091402,-0.026302074018034527
days_to_next_accounts_due,0.14352044752992163,-0.037832521699383795
company_age_years,0.09389290302340456,0.03361278383754352
months_in_current_status,0.07914982224180522,0.07885997913460231
sector,0.0563812352208945,0.0045766563447235545
months_since_last_confstmt,0.040801562184694745,0.02021679897699737
Mortgages.NumMortSatisfied,0.024414068290084388,0.0007298615847683992
months_since_last_award,0.02190834192196733,0.0042322807035525935
d_charges_6m,0.02061667770099255,0.01884959573040319
debt_ratio,0.019786532680865738,-0.0015543395875736838
primary_lender_group,0.01759035902704097,0.0008808270605969345
d_outstanding_6m,0.015081148704001837,0.014771209721331046
n_charges_outstanding,0.011863629966836263,0.0024684808638261338
Mortgages.NumMortOutstanding,0.006547029734023466,-0.0007771029047854269
d_outstanding_3m,0.005645767003130634,0.005105953093280139
months_since_last_lbg_charge_created,0.005602040466416837,0.0002515504586324955
lbg_share_of_outstanding,0.004839933808756798,-0.00021008407933727167
ever_won_contract,0.00457384314599782,0.0010713220361291244
status_changed,0.003836180218959709,0.0036259482998459726
accounts_stale_streak_months,0.003460399726462096,-0.0008258114832064774
ever_distressed_before,0.003350631484478969,-0.002223955756543591
months_since_last_lbg_satisfaction,0.0032010069751325144,-0.00027874350985387583
d_charges_3m,0.002751872157562358,0.0020827825794197544
total_value_won_12m,0.0025980461120602236,0.00026034108620875946
competitor_charge_created_6m,0.0025775190224115773,7.201649499885697e-07
confstmt_late,0.0024466048978694674,0.00034682806872086296
months_since_last_new_charge,0.0023453070027281316,0.0021738574223907773
accounts_overdue,0.0016371555932976779,-0.00014276618036287677
n_distinct_lenders,0.0013608400430017075,0.000681682037899469
n_competitor_lenders,0.001025657723353397,4.329033156812787e-05
n_lbg_charges_outstanding,0.001009663811739194,-8.986545278012402e-05
accounts_overdue_streak_months,0.0006372507116245363,-0.0001666347045319571
first_award_in_12m,0.000634196241366174,9.866394573535917e-05
new_charge_events_12m,0.000553635831641163,0.0004210732433395988
d_contracts_12m,0.0004716682887231884,-3.4065326540327e-05
ever_lbg_client,0.0003049850058379823,6.205285506285747e-05
contracts_won_12m,0.00011452048128620264,-2.511314822912122e-05
awards_with_value_12m,7.375726595939946e-05,1.8059969697753465e-05
d_outstanding_12m,0.0,0.0
d_charges_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
sic_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
