feature,mean_abs_shap,mean_shap
segment,0.590601676285618,-0.02944589942371789
company_age_years,0.3143706456958562,-0.06263637918788918
months_since_last_accounts_filing,0.21231079404442885,0.11180401320565456
months_since_last_confstmt,0.20296168546080345,-0.014873312871334738
segment_upgraded_12m,0.15595386153503765,-0.04710354122553671
tier_rank,0.14291980397505002,0.01987256362148017
Mortgages.NumMortCharges,0.1285121536568746,-0.002336371892085707
days_to_next_accounts_due,0.12091689502537999,-0.015425274106033181
sector,0.07313904845187065,-0.0016295480674455769
months_since_segment_change,0.04542172784495337,-0.00766213748595482
postcode_changed_12m,0.038855605017936536,0.0052794742225542686
months_in_current_status,0.037581101575851796,0.01242737656541064
segment_downgraded_12m,0.024036547807331745,0.00049225304489445
accounts_stale_streak_months,0.022603661101335975,-0.0035276041596898266
confstmt_late,0.017631693408246024,0.0014242700922786513
Mortgages.NumMortSatisfied,0.016637259363248006,-0.00014035663892695226
primary_lender_group,0.016259205831815778,0.005792332662114364
d_outstanding_6m,0.010916293817782814,0.007735694319352382
name_changed_12m,0.009543835728473267,0.0027693415132512104
ever_distressed_before,0.008796772137083927,0.0025365524018376422
d_charges_6m,0.00796973206047602,0.00015143227270503781
debt_ratio_trend_12m,0.006468666509606291,0.0012613375445981693
sic_changed_12m,0.006363202939520127,0.001651233074306379
debt_ratio,0.00607763966626645,0.0037940946562505075
d_outstanding_12m,0.005986898775215315,0.0028993686709287573
d_outstanding_3m,0.005646758381377433,0.0035758752726261916
lbg_share_of_outstanding,0.005504769483667698,-0.0003224294925406679
months_since_last_new_charge,0.0047683644717303455,0.0008341075077717781
accounts_overdue,0.004447894637059325,-0.0007192457708267958
months_since_last_lbg_satisfaction,0.004429433985437955,0.0005933199797937775
months_since_last_lbg_charge_created,0.00418225566264586,0.00044450141184373363
n_charges_outstanding,0.004017327275578004,-0.0005321007218843953
d_charges_12m,0.003557319212193954,-0.0003972880001824431
d_satisfied_12m,0.0032711182480982047,0.0004044475145989485
months_since_last_award,0.0027181356172842515,0.00021771869522027929
Mortgages.NumMortOutstanding,0.002697062958529528,0.0004802944991498957
accounts_overdue_streak_months,0.002594625027606877,5.650710744745161e-05
n_distinct_lenders,0.0023812519145808174,0.00036720709528750064
total_value_won_12m,0.0021126143816696526,3.4368038831542576e-05
n_competitor_lenders,0.0017684873390473735,0.0005562651092558356
competitor_charge_created_6m,0.0017463779455138394,-0.00012678684045513354
new_charge_events_12m,0.0007580258892148757,-8.344943567155297e-05
d_charges_3m,0.000579291821834378,0.0004172594440547065
n_lbg_charges_outstanding,0.000427652380735775,3.7016333734797724e-05
status_changed,0.00010075722242357409,3.243075464589063e-05
d_contracts_12m,8.36874460775546e-05,1.182807416704897e-06
ever_won_contract,7.309492374904464e-05,-5.415139083785707e-06
contracts_won_12m,0.0,0.0
awards_with_value_12m,0.0,0.0
first_award_in_12m,0.0,0.0
is_lbg_client,0.0,0.0
competitor_entered_12m,0.0,0.0
lbg_charge_satisfied_6m,0.0,0.0
ever_lbg_client,0.0,0.0
