feature,mean_abs_shap,mean_shap
tier_rank,1.071607876818299,0.2660545870771127
segment,0.42263689013590383,0.18838482033073603
months_since_last_accounts_filing,0.2503109606916392,0.08748477687500501
months_since_segment_change,0.21951033025221656,-0.19422430608503802
Mortgages.NumMortCharges,0.1893919943959464,-0.021845316812843525
days_to_next_accounts_due,0.15981566938766936,-0.06177298684426885
company_age_years,0.10013239090364365,0.034982031007211964
months_in_current_status,0.06996248576148274,0.06941044232745906
sector,0.058473615023548184,0.005004132418367789
months_since_last_confstmt,0.056437089546949,0.024027895423158484
debt_ratio,0.02921784261922257,-0.0013851901682467892
d_charges_6m,0.026327201440338812,0.0249757439886342
months_since_last_award,0.023431637295379407,0.004615945935164449
Mortgages.NumMortSatisfied,0.021761698419253465,-0.0007867469357806817
d_outstanding_6m,0.017953124307248353,0.017300782756880052
Mortgages.NumMortOutstanding,0.015485090703965388,-0.0006286008127946254
d_outstanding_3m,0.013560076215161579,0.013290614803639255
d_charges_3m,0.009126529221178513,0.008826187087594757
status_changed,0.009097809743054668,0.0088675030010382
ever_distressed_before,0.004953393611486871,-0.0033244661776443848
accounts_stale_streak_months,0.004696925441919312,-0.0008560509792317572
months_since_last_new_charge,0.003827576896722678,0.0032504867685461017
ever_won_contract,0.003478035547767842,0.0006275530584256881
total_value_won_12m,0.002809772661523252,4.6043577143069656e-05
confstmt_late,0.002687194791904432,0.0002365259379394144
accounts_overdue,0.001409201891348847,0.0002251866292497308
first_award_in_12m,0.0013048789589387825,-2.021582607771494e-05
accounts_overdue_streak_months,0.0010806569858556967,-0.0002578360449708571
new_charge_events_12m,0.0010752324508458062,0.0004827032040272611
d_contracts_12m,0.0005367429821514132,4.497858631869611e-05
contracts_won_12m,0.00037753659269627464,3.2669115811462595e-05
awards_with_value_12m,0.00021050997688635127,-2.2974461407798278e-05
d_charges_12m,0.0,0.0
segment_downgraded_12m,0.0,0.0
segment_upgraded_12m,0.0,0.0
debt_ratio_trend_12m,0.0,0.0
d_satisfied_12m,0.0,0.0
d_outstanding_12m,0.0,0.0
postcode_changed_12m,0.0,0.0
sic_changed_12m,0.0,0.0
name_changed_12m,0.0,0.0
