feature,mean_abs_shap,mean_shap
segment,0.7267774978484599,-0.03416514401909249
company_age_years,0.32369767041369213,-0.053164234969086045
months_since_last_accounts_filing,0.22253684699145676,0.1324954228360574
months_since_last_confstmt,0.21826907398452788,-0.020501491762095772
days_to_next_accounts_due,0.1453582418876583,-0.04101007796638025
Mortgages.NumMortCharges,0.12425578361938411,0.00437650249602804
segment_upgraded_12m,0.08791502077786745,-0.032112680721194345
sector,0.07855100613816043,-0.0007772692035162561
tier_rank,0.07340252137626901,0.006805986782993982
months_since_segment_change,0.06286942831049366,-0.01454191377756004
months_in_current_status,0.041179702363795874,0.023977090646223893
postcode_changed_12m,0.039617998915496354,-4.357871129555251e-05
segment_downgraded_12m,0.03258303315898842,-0.008062213284459146
Mortgages.NumMortSatisfied,0.02517344945427826,0.00044370803118883343
accounts_stale_streak_months,0.023170310098658102,-0.00208968468108998
confstmt_late,0.01630940930256962,0.0008716218608429585
name_changed_12m,0.013493975114345235,0.003119933694676605
debt_ratio,0.009923347862056252,0.004145840421786955
accounts_overdue,0.009858024402815945,-0.0008094369563426875
d_outstanding_6m,0.00944819083246512,0.003178611242321816
sic_changed_12m,0.008746333391133398,0.0008360379021215894
d_charges_12m,0.008571919179573423,0.0009568049868149267
debt_ratio_trend_12m,0.008249838285190767,0.0037209571348923976
d_outstanding_12m,0.0073553714521126775,0.0072917360206919525
ever_distressed_before,0.00728688211564996,0.002105376362609904
d_outstanding_3m,0.007200521380546736,0.001996605684209814
Mortgages.NumMortOutstanding,0.00689192149000141,0.0037494311216791317
months_since_last_new_charge,0.006684479711297164,0.0012547855156487874
d_charges_6m,0.0040330159546693506,-0.0016169208114386424
d_satisfied_12m,0.003765191505907258,0.0001769499494884309
months_since_last_award,0.003692090377795091,0.0003374196711326223
accounts_overdue_streak_months,0.0019577855035110944,-0.00013016125871121058
total_value_won_12m,0.0017256685466919002,-2.5885876418810226e-05
status_changed,0.0006801146215483914,0.0002824959541696701
new_charge_events_12m,0.0005937966045525805,-5.4497188879501195e-05
ever_won_contract,0.0004050464605759329,0.00013659536702694602
d_charges_3m,0.00033943812223678847,0.0001374160290495644
d_contracts_12m,0.00016771055274120546,8.773641999784262e-06
awards_with_value_12m,0.00014957273389021186,-1.7146419492161288e-06
contracts_won_12m,0.0,0.0
first_award_in_12m,0.0,0.0
