feature,mean_abs_shap,mean_shap
Mortgages.NumMortCharges,0.5731271840131101,-0.04928103873378159
segment,0.4572651538976253,0.015691575357174293
sector,0.16618377132029044,-0.004275686911229145
company_age_years,0.15056189938034556,0.024895300554585106
days_to_next_accounts_due,0.09097684854675561,-0.003772439962041544
months_since_last_confstmt,0.09041221558109772,0.007586418180644295
postcode_changed_12m,0.09010648680984787,-0.0033189880178010464
sic_changed_12m,0.08100396215090079,-0.005051466707632399
tier_rank,0.07350375044174015,0.0028249670828004217
months_since_segment_change,0.07288983860332605,-0.0209541749447325
Mortgages.NumMortOutstanding,0.0693033318018684,-0.01881176240927325
accounts_stale_streak_months,0.05766225981101581,0.012250388096391864
months_since_last_accounts_filing,0.047782744697275364,0.020886215692286405
months_since_last_new_charge,0.03583567492164602,-0.011839333496138658
Mortgages.NumMortSatisfied,0.03487948069458566,-0.003391257363420162
name_changed_12m,0.027964336748995535,-0.00221209385279725
months_in_current_status,0.027358764412189325,-0.012601675551100389
segment_upgraded_12m,0.023703194516868385,0.0006716916712603837
confstmt_late,0.017371356776959758,-0.0009591978632990938
months_since_last_award,0.01726958844342711,0.0041008511581860875
d_charges_12m,0.016954659311172512,-0.008449255717482413
segment_downgraded_12m,0.015225949804064621,-0.0018935508808805126
debt_ratio,0.01363208096366545,0.0009500669084146544
ever_distressed_before,0.012179918011526163,-0.0038923932946439747
d_satisfied_12m,0.010497890541476833,0.0014022247063241835
d_outstanding_3m,0.00872032433102802,-0.0010258759144847033
d_outstanding_12m,0.008401718948814994,-0.0019223226381844532
debt_ratio_trend_12m,0.006024583169376832,-0.0017979680415846433
d_outstanding_6m,0.005794775769579191,-0.0007106703546302031
d_charges_6m,0.003726607274898575,-0.0011162090701092894
new_charge_events_12m,0.0036331202335902354,0.0012957407438842889
d_charges_3m,0.0025313415152358586,-0.0004910986187077214
accounts_overdue_streak_months,0.0019285838659511166,-0.00025226850621604244
status_changed,0.001889556911586804,-4.353389447576195e-05
total_value_won_12m,0.0011712018006231541,0.0003330505531664559
accounts_overdue,0.0008966387850606951,-9.66666867424512e-05
ever_won_contract,0.0006783172736624139,6.168659727686788e-05
d_contracts_12m,0.00031087899908522053,2.094760523724284e-05
contracts_won_12m,9.43528404831074e-05,-2.090174058826774e-05
first_award_in_12m,3.563068119213796e-05,7.874776489522535e-06
awards_with_value_12m,2.4280223886685993e-05,-8.055116766946779e-06
