rank,CompanyNumber,CompanyName,score
1,07284911,ADVANCED INSTRUMENTS LTD.,0.513886986764728
2,05728557,WATTS GROUP LIMITED,0.4900871788163192
3,11309482,PRAESTANTIA TECHNOLOGY LIMITED,0.46588341557731566
4,06841737,GOVTECH SOLUTIONS LIMITED,0.4599158392379402
5,02690536,FUTURE GARMENTS LIMITED,0.45974453421916245
6,14772861,ASITE 3D REPO LTD,0.45433678786091886
7,09833975,PEARLTECH UK LIMITED,0.4430564770569164
8,05357998,APLX LTD,0.42774901827913603
9,06467245,THE MARKETING LOUNGE PARTNERSHIP LIMITED,0.41886594949421535
10,05933693,RAMON HOLDINGS LIMITED,0.41652274352506696
11,08575062,COMMONPLACE DIGITAL LTD,0.4131070588527829
12,10377735,STATSBOMB SERVICES LIMITED,0.4114612449914509
13,11346801,ICS.AI LTD,0.4098790113641689
14,09735009,FLYFORM LTD,0.4055246086541109
15,09732010,CMAP SOFTWARE LIMITED,0.40463423708484597
16,09085579,TELCOM NETWORKS LIMITED,0.3995481803141968
17,11253470,SKEWB LTD,0.39742630056183526
18,06437348,BARNFATHER WIRE (MIDLANDS) LIMITED,0.3924222603499544
19,12148954,BRAIN LABS UK HOLDCO LIMITED,0.3906662182084268
20,08092834,ICT4 LIMITED,0.39005960176672494
21,08294659,ZESTY LIMITED,0.37977519046903574
22,07823588,NATIONAL INSTITUTE OF AGRICULTURAL BOTANY TRUST,0.37412304392235257
23,16107952,SEVERN VALLEY COFFEE SHOP LIMITED,0.37258193510500426
24,15366121,TECHFLOW MARINE (PORTS & TERMINALS) LTD,0.3715035825003587
25,07652159,CUMMING MANAGEMENT GROUP UK LTD,0.36670129115362293
26,14477477,APG BRISTOL LIMITED,0.3664309640418759
27,06695717,LATCHAM DIRECT LIMITED,0.365772779765214
28,07463998,BALLYCLARE LIMITED,0.36539424126024567
29,08853263,SCHULTZ MEDICAL (UK) LTD,0.36264587283542227
30,09668542,OLIVE JAR DIGITAL LTD,0.3625551768417824
31,14477466,APG EXETER LIMITED,0.35631680487676426
32,14339923,MERCO FS LIMITED,0.35603643207040264
33,11739663,ADHD360 LIMITED,0.35415335465264175
34,14064420,Q CHISHTI PROPERTIES LIMITED,0.352887250740077
