rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
1,07284911,ADVANCED INSTRUMENTS LTD.,0.513886986764728,Mortgages.NumMortCharges,1.2379559753829252,8.0,months_since_last_award,1.0503577577537213,8.0,tier_rank,0.5130225362666145,3.0
2,05728557,WATTS GROUP LIMITED,0.4900871788163192,Mortgages.NumMortCharges,1.2057973930368542,11.0,months_since_last_award,0.890293225881905,1.0,total_value_won_12m,0.6712869753531725,1.7249906e+07
3,11309482,PRAESTANTIA TECHNOLOGY LIMITED,0.46588341557731566,months_since_last_accounts_filing,1.3440281505493252,28.0,months_since_last_award,1.0973587834074388,45.0,Mortgages.NumMortCharges,0.6342455401637903,2.0
4,06841737,GOVTECH SOLUTIONS LIMITED,0.4599158392379402,months_since_last_accounts_filing,1.3242812403511632,28.0,months_since_last_award,0.7546656346042774,1.0,total_value_won_12m,0.6298368194680388,830250.0
5,02690536,FUTURE GARMENTS LIMITED,0.45974453421916245,Mortgages.NumMortCharges,1.090782381396588,8.0,months_since_last_award,0.9176397991350552,3.0,tier_rank,0.611929508245676,3.0
6,14772861,ASITE 3D REPO LTD,0.45433678786091886,months_since_last_accounts_filing,0.8381284737795017,25.0,Mortgages.NumMortCharges,0.7738303677255488,2.0,months_since_last_award,0.719878019237112,37.0
7,09833975,PEARLTECH UK LIMITED,0.4430564770569164,Mortgages.NumMortCharges,0.8404057424037226,4.0,months_since_last_award,0.8059356182545736,34.0,months_since_last_accounts_filing,0.7412767283798246,27.0
8,05357998,APLX LTD,0.42774901827913603,months_since_last_award,1.0253820855817515,2.0,Mortgages.NumMortCharges,0.8736830639222515,3.0,tier_rank,0.5429711318883481,3.0
9,06467245,THE MARKETING LOUNGE PARTNERSHIP LIMITED,0.41886594949421535,months_since_last_award,1.1832262128147508,25.0,Mortgages.NumMortCharges,0.8296370593526363,3.0,tier_rank,0.45891836945504255,3.0
10,05933693,RAMON HOLDINGS LIMITED,0.41652274352506696,Mortgages.NumMortCharges,1.27314479582375,10.0,months_since_last_award,1.0299251731030858,5.0,tier_rank,0.5104768283541017,3.0
11,08575062,COMMONPLACE DIGITAL LTD,0.4131070588527829,Mortgages.NumMortCharges,1.0140522030763568,3.0,months_since_last_accounts_filing,0.9837647263921958,25.0,months_since_last_award,0.8387990791356749,2.0
12,10377735,STATSBOMB SERVICES LIMITED,0.4114612449914509,Mortgages.NumMortCharges,1.2466803646473572,3.0,tier_rank,0.5089074401841721,3.0,months_in_current_status,0.3743075761324296,33.0
13,11346801,ICS.AI LTD,0.4098790113641689,months_since_last_award,1.0090969891532449,0.0,months_since_last_accounts_filing,0.940348641342951,25.0,total_value_won_12m,0.6991428913673114,643268.0
14,09735009,FLYFORM LTD,0.4055246086541109,months_since_last_award,0.9667947572218393,2.0,Mortgages.NumMortCharges,0.8941874443626593,3.0,tier_rank,0.45239660552600447,3.0
15,09732010,CMAP SOFTWARE LIMITED,0.40463423708484597,Mortgages.NumMortCharges,1.050546223172116,6.0,months_since_last_award,0.9150181389464889,33.0,tier_rank,0.5100084582189801,3.0
16,09085579,TELCOM NETWORKS LIMITED,0.3995481803141968,Mortgages.NumMortCharges,0.9508703350770731,9.0,months_since_last_award,0.8136121058478643,23.0,months_since_last_accounts_filing,0.6360271575037642,25.0
17,11253470,SKEWB LTD,0.39742630056183526,Mortgages.NumMortCharges,1.1470892405304194,6.0,months_since_last_award,0.9335653097972456,14.0,tier_rank,0.4911232085679134,3.0
18,06437348,BARNFATHER WIRE (MIDLANDS) LIMITED,0.3924222603499544,months_since_last_award,0.9540984730202569,9.0,Mortgages.NumMortCharges,0.9324199542112722,5.0,tier_rank,0.5967596623679685,3.0
19,12148954,BRAIN LABS UK HOLDCO LIMITED,0.3906662182084268,Mortgages.NumMortCharges,1.5506174253759526,5.0,company_age_years,0.5783091540947382,6.9,months_since_last_accounts_filing,0.4225921490075296,16.0
20,08092834,ICT4 LIMITED,0.39005960176672494,months_since_last_award,1.1659375985742413,44.0,Mortgages.NumMortCharges,1.1261436712503143,3.0,months_since_last_accounts_filing,0.9207353555178504,23.0
21,08294659,ZESTY LIMITED,0.37977519046903574,months_since_last_accounts_filing,0.8467309987125982,28.0,months_since_last_award,0.8317755255276048,4.0,Mortgages.NumMortCharges,0.6500845034193662,2.0
22,07823588,NATIONAL INSTITUTE OF AGRICULTURAL BOTANY TRUST,0.37412304392235257,Mortgages.NumMortCharges,1.3245258930829946,12.0,months_since_last_accounts_filing,1.3120655597132662,28.0,sector,0.42301560462881965,Fast growth & emerging
23,16107952,SEVERN VALLEY COFFEE SHOP LIMITED,0.37258193510500426,company_age_years,0.7912902828625664,1.6,tier_rank,0.7690852734163474,1.0,Mortgages.NumMortCharges,0.5397105328964223,1.0
24,15366121,TECHFLOW MARINE (PORTS & TERMINALS) LTD,0.3715035825003587,tier_rank,0.7582775237445846,1.0,months_since_last_accounts_filing,0.7563310463658908,24.0,Mortgages.NumMortCharges,0.6028888748644105,2.0
25,07652159,CUMMING MANAGEMENT GROUP UK LTD,0.36670129115362293,Mortgages.NumMortCharges,1.2419256771305935,9.0,months_since_last_award,1.0010122218746462,2.0,tier_rank,0.6238840787080109,3.0
26,14477477,APG BRISTOL LIMITED,0.3664309640418759,Mortgages.NumMortCharges,1.3329715776766333,7.0,months_since_last_accounts_filing,0.700793527475009,22.0,tier_rank,0.44005075653149245,3.0
27,06695717,LATCHAM DIRECT LIMITED,0.365772779765214,Mortgages.NumMortCharges,1.2022313707334744,8.0,months_since_last_award,1.0222402310036938,7.0,tier_rank,0.532252870498863,3.0
28,07463998,BALLYCLARE LIMITED,0.36539424126024567,Mortgages.NumMortCharges,1.0975224349496882,6.0,months_since_last_award,1.064530855999356,3.0,total_value_won_12m,0.7065899373159279,1.09e+06
29,08853263,SCHULTZ MEDICAL (UK) LTD,0.36264587283542227,Mortgages.NumMortCharges,1.5644735241794732,9.0,months_since_last_award,1.0367672310381788,0.0,total_value_won_12m,0.6784685490389902,9.20339e+06
30,09668542,OLIVE JAR DIGITAL LTD,0.3625551768417824,months_since_last_award,0.9913719619740534,5.0,total_value_won_12m,0.8873807016271085,2.005e+09,Mortgages.NumMortCharges,0.8649353572318147,2.0
31,14477466,APG EXETER LIMITED,0.35631680487676426,Mortgages.NumMortCharges,1.314414703192285,4.0,months_since_last_accounts_filing,0.7012474310025857,22.0,tier_rank,0.41987679138736006,3.0
32,14339923,MERCO FS LIMITED,0.35603643207040264,months_since_last_award,0.7263128691076907,33.0,tier_rank,0.7141869936289741,1.0,Mortgages.NumMortCharges,0.590537060448313,2.0
33,11739663,ADHD360 LIMITED,0.35415335465264175,months_since_last_award,1.0814782240935246,12.0,Mortgages.NumMortCharges,0.7870462854095492,2.0,tier_rank,0.3826588772523444,3.0
34,14064420,Q CHISHTI PROPERTIES LIMITED,0.352887250740077,Mortgages.NumMortCharges,0.8450326325402475,6.0,tier_rank,0.7010566584045409,1.0,segment,0.43849312023100223,Micro
35,08033357,SOLUTIONPATH LIMITED,0.3514567802891367,months_since_last_award,1.0161744413429579,12.0,tier_rank,0.6583004782913737,nan,Mortgages.NumMortCharges,0.5986511504473229,4.0
36,14519863,RENAISSANCE PHARMA LTD,0.3437549873669174,months_since_last_accounts_filing,0.9344993338737447,31.0,tier_rank,0.6646773491591896,1.0,Mortgages.NumMortCharges,0.5466239096968418,1.0
37,02091108,VELOCITI SOLUTIONS LIMITED,0.3384440684145962,Mortgages.NumMortCharges,1.1417144099777397,10.0,months_since_last_award,0.9225840790053799,4.0,tier_rank,0.6408643985996583,3.0
38,08828281,AMTECH BUSINESS SOLUTIONS LIMITED,0.33843438850516516,months_since_last_award,1.3650856794674782,47.0,tier_rank,0.7565617514814527,1.0,segment,0.4345606569324815,Micro
39,02174882,HARDALL INTERNATIONAL LIMITED,0.33799552636812,Mortgages.NumMortCharges,0.898870335341592,3.0,months_since_last_award,0.8644205529216757,2.0,months_since_last_accounts_filing,0.6783561528296415,25.0
40,06893253,BCN GROUP LTD.,0.33415098631124796,Mortgages.NumMortCharges,1.2223443989545324,8.0,months_since_last_award,1.075081514716202,2.0,tier_rank,0.5905144015646333,3.0
