rank,CompanyNumber,CompanyName,score
1,09654369,APOIDEA SOLUTIONS LIMITED,0.47789624452193946
2,05144979,SPIDERWEBSITES LIMITED,0.47732667356953373
3,12705598,"MUMANIELA PROJECT, ART AND DESING LTD",0.45794084051138817
4,07296415,CAPITALINVEST HOLDING LTD,0.4452615017524295
5,12066662,SIGPROC LTD,0.44375505456188363
6,10990842,ATS WEB DEVELOPMENT LTD,0.44247792651704715
7,11596665,HUNT CONTRACTING SERVICES LTD,0.44236970429914846
8,08672236,SOLENT MARINE SURVEYS LTD,0.43555206019008375
9,NI654416,ESTHER WOMEN LIMITED,0.43139157172194076
10,11636665,ALPHA EDGE LTD,0.43139157172194076
11,12688816,LEGAL WILLS ONLINE LTD,0.428149202417529
12,10402530,ELLIS & FARAH LIMITED,0.4242173385878755
13,09609828,MBA TRAINING AND CONSULTANCY LIMITED,0.4183750593916329
14,11487443,CHC COACHING LTD,0.41718793823512973
15,12153459,DANDOESLIGHTS LTD,0.40513437235621746
16,07046809,GROSVENOR POINT LIMITED,0.40310184025097934
17,09932771,TEN 0 EIGHT LTD,0.40037225899931644
18,11602096,JAKE GURR FINANCIAL SERVICES LIMITED,0.39725335669235035
19,03583482,KW PROPERTIES (COBBYDALE) LTD,0.3896984409771764
20,11147688,FIRST BUSINESS DEVELOPMENT LTD,0.3878845872123988
21,09717071,RJD IT SERVICES LIMITED,0.38465721238801726
22,04125587,88 MARINE PARADE BRIGHTON LIMITED,0.382405736911241
23,12227373,BE-ROLL LTD,0.3817126917159904
24,09386341,MEDICAL EXAM PREP LTD,0.37488350814607746
25,06627205,S&W ACCOUNTANCY SERVICES LIMITED,0.372677043516294
26,02006899,PMR SYSTEMS LTD,0.3725807637979245
27,11635643,BRIDGLAND AND BRIDGLAND C/O LIMITED,0.369779953095269
28,08369329,STARRY1HRCONSULTING LIMITED,0.3679226067004264
29,12923656,ACROSS THE LINE CONSULTING LTD,0.3662160530819937
30,06491117,HIGHCURVE LIMITED,0.3610691105453485
31,11494446,UNIX ACCOUNTING LTD,0.35299681417119894
32,04368718,PEAK BIOMEDICAL LTD,0.339132651143032
33,03668232,XPRESSNET (UK) LTD,0.3376828309280907
34,09025988,SUMEK LTD,0.3374927130713032
35,03322295,BRANTWOOD HOLDINGS LIMITED,0.3368046152031644
36,13008682,FANCY DRAGON LIMITED,0.32245149734875744
37,06054920,LIVING BRANDS LTD,0.30020187447480307
38,SC627776,LIZ WILSON COPYWRITING & COMMUNICATIONS LIMITED,0.2746153567217289
39,12045967,SB CONSULTING SOLUTIONS LIMITED,0.27284778634790124
40,04181698,HOWEFAB LTD,0.25902242230249767
41,13361850,FLEXSEA LTD,0.2486267095338011
42,14128047,GOWEB3 LTD,0.23995785018296178
43,09520069,WEBSNIPS LTD,0.23591175666332748
44,14182255,ATC183 LIMITED,0.2334527852745441
45,10828250,ZAMEG STUDIOS LTD,0.23183290373372098
46,15069455,SAAM PRIVATE HIRE LTD,0.22884947771605726
47,08637989,STRATUS ACCOUNTING LIMITED,0.22864830030753674
48,13500563,BLACKCAT NETWORKS LTD,0.22506115757669354
49,13637173,RURAL MENTAL HEALTH MATTERS LIMITED,0.22031133194726116
50,09037573,SAI TECH PVT. LTD,0.21606964502147707
51,09642494,SASHA BALLA PHOTOGRAPHY LTD.,0.21566712722013703
52,15123075,MILNE PUBLISHING LIMITED,0.21408814927010072
53,09281484,FOUNTAIN RIDGE LTD,0.2133717081094769
54,09068362,MESSRS. KICK & DRUM LTD,0.20945894760536493
55,15774674,CHARGING AHEAD LIMITED,0.2086295037067191
56,10205768,FERN FINANCIAL PLANNING LIMITED,0.20673276586593436
57,15147181,BEDRE AND BEDRE LIMITED,0.2062292299244617
58,10158846,EN DASH LIMITED,0.2053426566257471
59,10175585,INFINITY OFFICE LIMITED,0.20472499887296186
60,08302799,HUMBERSIDE BLOCKS (2012) LIMITED,0.20267051068304193
61,12018992,SAMUEL E LEWIS LTD,0.20243008327456896
62,14693500,LEGALBNM LTD,0.20191583705450733
63,08526604,JAMJAR CONSULTING LIMITED,0.20096178518733188
64,11348640,HGGL CONSULTING LTD,0.2003025601867217
65,05842285,ANDREW CAMPBELL LIMITED,0.20028907345538408
66,10751467,STUART POND DESIGN LIMITED,0.19997756738348807
67,07428128,INPHTECH LIMITED,0.19947752081496387
68,13614669,HIQMA LIMITED,0.19878965103134416
69,14967796,GHETTO LABEL U.S. LEGACY RECORDS LIMITED,0.19866701144915702
70,08557939,BANKS & SIMPSON CONSULTANCY LIMITED,0.19765530655074334
71,04420590,HEALTH AND SAFETY SERVICES (UK) LIMITED,0.19751454237826435
72,08415666,SSS ENGINEERING SERVICES LTD,0.1901128873996454
73,09042505,UKTTF LIMITED,0.1887967665426409
74,13813174,LAKESHORE CONSULTING LTD,0.1880536548908111
75,06264478,M PHILLIPS CONSULTANTS LTD,0.18742606925195335
76,09765349,MAKROSOFT LIMITED,0.18685856096418024
77,SC184280,COWIE SEAFOODS LIMITED,0.18432440226448632
78,03310580,THE PROACTIVE ACCOUNTANT LTD,0.1803516792057601
79,08954533,AJM FINANCIAL SERVICES LONDON LTD,0.17911953327699742
80,12620180,HARDOWN LTD,0.17870716192824548
81,12686388,MORE THAN VENICE LTD,0.17857268399730578
82,01006739,APPLIED PHOTOPHYSICS LIMITED,0.17857035461762294
83,16983519,EUROVIEW AG LTD,0.17800294935151037
84,10844218,SIAN DAVEY PHOTOGRAPHY LTD,0.17722558330212762
85,04781357,GRACE PRODUCTIONS LIMITED,0.17671390462968312
86,11392308,SPACETIME LABS LIMITED,0.17662436335301737
87,15324653,BUDDY MOON LTD,0.17636898099917994
88,09577543,RGL ASSOCIATES LIMITED,0.1763433311747713
89,08531702,ISLE OF WIGHT JOBS LIMITED,0.17619729255806912
90,08397116,MASTER-CLOUD LTD.,0.1756556471358713
91,12630918,HEGETOR LTD,0.17550864324253954
92,09064144,GC DYNAMICS LTD,0.1750084006171566
93,10170660,SAHASRA FUSION TECHNOLOGIES LIMITED,0.17494660299174056
94,05394508,NASMYTH DOUGHTY LIMITED,0.17427563008587946
95,07263317,KHAN CONSULTING LTD,0.172810073087695
96,06587174,MOS MANAGEMENT SERVICES LIMITED,0.17221278256854525
97,10198306,VATAX ACCOUNTANCY SERVICES LTD,0.17145208609710164
98,12020842,PRICE CREATIVE LTD,0.17109698979767013
99,10902333,INFINITE CHIMP LTD,0.17070413884990918
100,07272851,PHAYS LTD,0.17042134983706167
