rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
1,09654369,APOIDEA SOLUTIONS LIMITED,0.47789624452193946,days_to_next_accounts_due,2.113932702656325,617.0,months_since_last_accounts_filing,1.8502119489776674,1.0,segment,0.9177572491850428,Micro
2,05144979,SPIDERWEBSITES LIMITED,0.47732667356953373,days_to_next_accounts_due,1.9302694687850217,623.0,months_since_last_accounts_filing,1.738195511117887,1.0,segment,0.8977652807847164,Micro
3,12705598,"MUMANIELA PROJECT, ART AND DESING LTD",0.45794084051138817,days_to_next_accounts_due,2.010830157668122,639.0,months_since_last_accounts_filing,1.7285196320701528,1.0,segment,0.904393284479598,Micro
4,07296415,CAPITALINVEST HOLDING LTD,0.4452615017524295,days_to_next_accounts_due,2.042091143993951,639.0,months_since_last_accounts_filing,1.7122494250534401,1.0,segment,0.915339656544554,Micro
5,12066662,SIGPROC LTD,0.44375505456188363,days_to_next_accounts_due,2.05297411338975,630.0,months_since_last_accounts_filing,1.773333325152082,1.0,segment,0.8963778665532257,Micro
6,10990842,ATS WEB DEVELOPMENT LTD,0.44247792651704715,days_to_next_accounts_due,2.0424062755521755,616.0,months_since_last_accounts_filing,1.7119713686074953,1.0,segment,0.9143255563632274,Micro
7,11596665,HUNT CONTRACTING SERVICES LTD,0.44236970429914846,days_to_next_accounts_due,2.04794088783362,619.0,months_since_last_accounts_filing,1.7675355772261636,1.0,segment,0.90155119907939,Micro
8,08672236,SOLENT MARINE SURVEYS LTD,0.43555206019008375,days_to_next_accounts_due,2.1052873258292806,618.0,months_since_last_accounts_filing,1.7988880498434552,1.0,segment,0.9348506286289241,Micro
9,NI654416,ESTHER WOMEN LIMITED,0.43139157172194076,days_to_next_accounts_due,2.05387164792762,612.0,months_since_last_accounts_filing,1.7441824329786115,1.0,segment,0.9174534470809481,Micro
10,11636665,ALPHA EDGE LTD,0.43139157172194076,days_to_next_accounts_due,2.0547346828118167,618.0,months_since_last_accounts_filing,1.7490644115854002,1.0,segment,0.9171579610428221,Micro
11,12688816,LEGAL WILLS ONLINE LTD,0.428149202417529,days_to_next_accounts_due,2.0501542978303493,639.0,months_since_last_accounts_filing,1.748266119426142,1.0,segment,0.8993997768882986,Micro
12,10402530,ELLIS & FARAH LIMITED,0.4242173385878755,days_to_next_accounts_due,2.0371200203582633,631.0,months_since_last_accounts_filing,1.7111646191181429,1.0,segment,0.9864190709582679,Small
13,09609828,MBA TRAINING AND CONSULTANCY LIMITED,0.4183750593916329,days_to_next_accounts_due,2.0682132375065128,627.0,months_since_last_accounts_filing,1.7087028476051536,1.0,segment,0.9992205203641515,Small
14,11487443,CHC COACHING LTD,0.41718793823512973,days_to_next_accounts_due,2.0606502810154086,616.0,months_since_last_accounts_filing,1.697674142521019,1.0,segment,0.9767201169892727,Small
15,12153459,DANDOESLIGHTS LTD,0.40513437235621746,days_to_next_accounts_due,2.112911666171766,631.0,months_since_last_accounts_filing,1.7798526732048943,1.0,segment,0.9052999495240794,Micro
16,07046809,GROSVENOR POINT LIMITED,0.40310184025097934,days_to_next_accounts_due,2.060238799377,613.0,months_since_last_accounts_filing,1.6893571053913015,1.0,segment,0.9962042451137428,Small
17,09932771,TEN 0 EIGHT LTD,0.40037225899931644,days_to_next_accounts_due,2.0273098182380545,609.0,months_since_last_accounts_filing,1.7877760666755067,1.0,segment,0.9209221264617653,Micro
18,11602096,JAKE GURR FINANCIAL SERVICES LIMITED,0.39725335669235035,days_to_next_accounts_due,2.1095052339188145,619.0,months_since_last_accounts_filing,1.7743695325260214,1.0,segment,0.9107502795101604,Micro
19,03583482,KW PROPERTIES (COBBYDALE) LTD,0.3896984409771764,days_to_next_accounts_due,2.088424218574286,639.0,months_since_last_accounts_filing,1.8366083224684762,1.0,segment,0.870663249043497,Micro
20,11147688,FIRST BUSINESS DEVELOPMENT LTD,0.3878845872123988,days_to_next_accounts_due,2.019655920820258,609.0,months_since_last_accounts_filing,1.7689651053312947,1.0,segment,0.9097448887354108,Micro
21,09717071,RJD IT SERVICES LIMITED,0.38465721238801726,days_to_next_accounts_due,1.9741364582831797,613.0,months_since_last_accounts_filing,1.7758877865710563,1.0,segment,0.9090423373297588,Micro
22,04125587,88 MARINE PARADE BRIGHTON LIMITED,0.382405736911241,days_to_next_accounts_due,2.0886590991323395,621.0,months_since_last_accounts_filing,1.78958883803997,1.0,segment,0.8931675224893075,Micro
23,12227373,BE-ROLL LTD,0.3817126917159904,days_to_next_accounts_due,2.1104801934424815,632.0,months_since_last_accounts_filing,1.7619859985084416,1.0,segment,0.904242588689761,Micro
24,09386341,MEDICAL EXAM PREP LTD,0.37488350814607746,days_to_next_accounts_due,2.046984238281427,613.0,months_since_last_accounts_filing,1.7138587799483496,1.0,segment,0.9865615516545135,Small
25,06627205,S&W ACCOUNTANCY SERVICES LIMITED,0.372677043516294,days_to_next_accounts_due,2.0155170205529194,609.0,months_since_last_accounts_filing,1.7963049522088657,1.0,segment,0.8983876901158834,Micro
26,02006899,PMR SYSTEMS LTD,0.3725807637979245,days_to_next_accounts_due,1.9850105751671614,618.0,months_since_last_accounts_filing,1.7698299167740001,1.0,segment,0.7974226276750672,Micro
27,11635643,BRIDGLAND AND BRIDGLAND C/O LIMITED,0.369779953095269,days_to_next_accounts_due,1.9266688966026635,628.0,months_since_last_accounts_filing,1.587444416357298,1.0,segment,0.821940412716696,Micro
28,08369329,STARRY1HRCONSULTING LIMITED,0.3679226067004264,days_to_next_accounts_due,2.092712999262999,616.0,months_since_last_accounts_filing,1.7725547821478005,1.0,segment,0.9151644953961133,Micro
29,12923656,ACROSS THE LINE CONSULTING LTD,0.3662160530819937,days_to_next_accounts_due,2.0654443593726235,609.0,months_since_last_accounts_filing,1.7391493534266231,1.0,segment,0.9040575258530589,Micro
30,06491117,HIGHCURVE LIMITED,0.3610691105453485,days_to_next_accounts_due,2.054394027835759,613.0,months_since_last_accounts_filing,1.7898138830715487,1.0,segment,0.8943855580057225,Micro
31,11494446,UNIX ACCOUNTING LTD,0.35299681417119894,days_to_next_accounts_due,2.0682929580821723,618.0,months_since_last_accounts_filing,1.7622711647703402,1.0,segment,0.8854140065685795,Micro
32,04368718,PEAK BIOMEDICAL LTD,0.339132651143032,days_to_next_accounts_due,2.061768979035981,621.0,months_since_last_accounts_filing,1.786345999717421,1.0,segment,0.8703056273244936,Micro
33,03668232,XPRESSNET (UK) LTD,0.3376828309280907,days_to_next_accounts_due,1.602518375884574,623.0,months_since_last_accounts_filing,1.2826426509227213,1.0,segment,0.5611351833563831,Micro
34,09025988,SUMEK LTD,0.3374927130713032,days_to_next_accounts_due,2.0746853650501755,627.0,months_since_last_accounts_filing,1.7371144849764972,1.0,segment,0.9012741186767051,Micro
35,03322295,BRANTWOOD HOLDINGS LIMITED,0.3368046152031644,days_to_next_accounts_due,2.0574454857803732,612.0,months_since_last_accounts_filing,1.8514597690338157,1.0,segment,0.8729771349619665,Micro
36,13008682,FANCY DRAGON LIMITED,0.32245149734875744,days_to_next_accounts_due,1.9810976693186888,617.0,months_since_last_accounts_filing,1.6201380659410909,1.0,segment,0.9121340240949181,Micro
37,06054920,LIVING BRANDS LTD,0.30020187447480307,days_to_next_accounts_due,2.025957523844891,614.0,months_since_last_accounts_filing,1.6855740861929183,2.0,segment,0.8783497902654868,Micro
38,SC627776,LIZ WILSON COPYWRITING & COMMUNICATIONS LIMITED,0.2746153567217289,days_to_next_accounts_due,2.0247454851363216,618.0,months_since_last_accounts_filing,1.6917590887112515,1.0,segment,0.8524214745597187,Micro
39,12045967,SB CONSULTING SOLUTIONS LIMITED,0.27284778634790124,days_to_next_accounts_due,2.02421686974469,619.0,months_since_last_accounts_filing,1.693709254235968,1.0,segment,0.8502697632745669,Micro
40,04181698,HOWEFAB LTD,0.25902242230249767,days_to_next_accounts_due,1.8379461984704335,620.0,months_since_last_accounts_filing,1.6711859815627652,1.0,segment,0.8535383364503786,Micro
41,13361850,FLEXSEA LTD,0.2486267095338011,days_to_next_accounts_due,1.8973640127755842,623.0,months_since_last_accounts_filing,1.444467923117078,1.0,segment,0.9281348659074242,Small
42,14128047,GOWEB3 LTD,0.23995785018296178,days_to_next_accounts_due,2.0334162737755737,634.0,months_since_last_accounts_filing,1.474193910150621,1.0,segment,0.8572930849100808,Micro
43,09520069,WEBSNIPS LTD,0.23591175666332748,days_to_next_accounts_due,1.7834850369258783,610.0,months_since_last_accounts_filing,1.6530118038090476,1.0,segment,0.8147646682900908,Micro
44,14182255,ATC183 LIMITED,0.2334527852745441,days_to_next_accounts_due,2.182508075533867,616.0,months_since_last_accounts_filing,1.5504170124917533,1.0,segment,0.8440574913598562,Micro
45,10828250,ZAMEG STUDIOS LTD,0.23183290373372098,days_to_next_accounts_due,1.8693071331614373,639.0,months_since_last_accounts_filing,1.651367640217491,1.0,segment,0.8317414122003166,Micro
46,15069455,SAAM PRIVATE HIRE LTD,0.22884947771605726,days_to_next_accounts_due,2.136206795607658,630.0,months_since_last_accounts_filing,1.5603893312285024,1.0,segment,0.8837540960655765,Micro
47,08637989,STRATUS ACCOUNTING LIMITED,0.22864830030753674,months_since_last_accounts_filing,1.4342081448756476,2.0,days_to_next_accounts_due,0.9694598820947904,608.0,segment,0.9192648673018368,Micro
48,13500563,BLACKCAT NETWORKS LTD,0.22506115757669354,days_to_next_accounts_due,2.1376909825897425,620.0,months_since_last_accounts_filing,1.513830813954193,1.0,segment,0.8471343682349799,Micro
49,13637173,RURAL MENTAL HEALTH MATTERS LIMITED,0.22031133194726116,days_to_next_accounts_due,2.175070384245835,617.0,months_since_last_accounts_filing,1.5250931365736056,1.0,segment,0.8571204474584574,Micro
50,09037573,SAI TECH PVT. LTD,0.21606964502147707,months_since_last_accounts_filing,1.357048533252468,2.0,segment,0.995451484873785,Small,days_to_next_accounts_due,0.8617499630573083,608.0
