rank,CompanyNumber,CompanyName,score
1,12723324,MS LENDING GROUP LIMITED,0.5771819740849737
2,11731838,COHORT CAPITAL LTD,0.5758907407781219
3,03188994,CASTLE AIR LIMITED,0.5318884425107343
4,01581476,PROUDREED LIMITED,0.525672472227238
5,03094287,T M TRUSTEES LIMITED,0.5248619544660396
6,10362628,VIRGIN MEDIA SENIOR INVESTMENTS LIMITED,0.5140772374186816
7,05879466,NOMAD FOODS EUROPE LIMITED,0.5083735495399625
8,02599024,MILEGATE LIMITED,0.5001727342610349
9,04818735,FILM & TV HOUSE LIMITED,0.49713710283691104
10,10419810,A.S.K. PARTNERS LIMITED,0.4895216483755207
11,01295221,JET2 PLC,0.48051573289654564
12,11082181,INTERGLOBE ENTERPRISES (UK) LIMITED,0.47901832391598254
13,02178783,TOWER PENSION TRUSTEES LIMITED,0.4750456307395876
14,16314307,SPRINGBANK SIGNATURE STAYS LTD,0.4736137131979794
15,14382532,LANSDOWN CONSTRUCTION LTD,0.4667490650385365
16,14997606,HDM ENERGIES LTD,0.4628693739950371
17,07927175,GLAS TRUST CORPORATION LIMITED,0.46234219152474837
18,SC582522,GOFIBRE HOLDINGS LIMITED,0.46222341124726235
19,15890468,ADUNN LIMITED,0.46056737158247874
20,16364484,IMPERIUM PROPERTY ADVISORY LTD,0.4585152024245847
21,09249746,BOATCO UK LTD,0.45596347920415814
22,02591237,VIRGIN MEDIA LIMITED,0.44653594506398686
23,11457392,CLOCKWISE GROUP LIMITED,0.4422543597389985
24,00675320,SUNSEEKER INTERNATIONAL LIMITED,0.438520684224556
25,10946543,THE LONDON NEXUS LTD.,0.4368366358385816
26,12800739,VMED O2 UK FINANCING I PLC,0.4360999104722269
27,04227934,L & C EUROPE LIMITED,0.43605815241954327
28,13161842,DEVPRO GLOBAL LTD,0.43591731910713405
29,12413758,TUPRAS TRADING LTD,0.4351747276786033
30,15229418,PHILPAM UK LTD,0.42818549914345677
31,11691487,A.S.K. PARTNERS AGENT LIMITED,0.4277911374656856
32,SC676128,MITHOFF PROPERTY INVESTMENTS LTD,0.4273200096821083
33,05914384,SUNSEEKER INTERNATIONAL (HOLDINGS) LIMITED,0.4251425504804157
34,09088709,ANSTEE COIL TECHNOLOGY LIMITED,0.42440345695663556
35,09656168,CS & CLM LTD,0.4239420299901921
36,16500748,FENYX F2 LIMITED,0.4227537773094128
37,13866849,ILEVELS INSTANT LIMITED,0.42025095597664996
38,11966921,PLAYGROUND TELEVISION UK 2 LIMITED,0.4196334961357589
39,02147149,HEL LIMITED,0.4172560534997965
40,13507341,OB TELECOM LIMITED,0.41174896806599565
41,10568990,HARRADINE & CO LIMITED,0.4091694771136587
42,13963121,WESTWOOD CAPITAL FINANCE LIMITED,0.4072618491705129
43,08563469,IMAGINATIVE PROPERTY GROUP LIMITED,0.40681658128451764
44,13661961,HEALTHCARE SERVICES CONSULTANCY LTD,0.4060324896891581
45,09671288,RATZFERT LTD,0.40510823896878956
46,10007469,THOUGHTRIVER LIMITED,0.4036500074213415
47,09384597,AUTOMATA TECHNOLOGIES LIMITED,0.4028815787838686
48,NI648509,DRINKSOLOGY LIMITED,0.40228915207455285
49,10138909,EDINBURGH ST JAMES (GP) LIMITED,0.4020173121343364
50,02196600,L.C.P. MANAGEMENT LIMITED,0.4020117830773694
51,SC433541,GREEN MARINE (UK) LIMITED,0.4017973608364297
52,SC156515,2 AGRICULTURE LIMITED,0.4010961205269384
53,10884713,ELITE PROPERTIES LIVERPOOL LIMITED,0.4007268903783838
54,08587686,AFINITI EUROPE TECHNOLOGIES LIMITED,0.39796344673496054
55,13827341,BRIDGEPARK CAPITAL LTD,0.39683457191754656
56,08246871,HARTSHORNE CROSSROADS GROUP CONTRACTS LIMITED,0.3965698926938066
57,09908188,NICOLAS JAMES LIMITED,0.3950748648520641
58,12588738,AMBER ORANGE LIMITED,0.3943726520478575
59,01692513,BANIJAY UK PRODUCTIONS LIMITED,0.3923846713997695
60,11468874,PGMBM LTD,0.3914706292202903
61,04992068,NORTH EAST PROPERTY PARTNERSHIP LIMITED,0.3901544701630842
62,09817636,GALILEO GLOBAL TECHNOLOGIES PLC,0.39014430209341355
63,15016818,VMED O2 UK HOLDCO 5 LIMITED,0.38853123901231695
64,12809596,VMED O2 UK HOLDCO 4 LIMITED,0.3863447735581843
65,14351083,CDC PROPERTY DEVELOPMENTS LTD,0.3859255241676977
66,SC592655,BANGLEY QUARRY BIOGAS LTD,0.3841026743066001
