rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
1,12723324,MS LENDING GROUP LIMITED,0.5771819740849737,Mortgages.NumMortCharges,2.7695985587572007,578.0,new_charge_events_12m,0.915696039059831,11.0,segment,0.8557373353046491,Large
2,11731838,COHORT CAPITAL LTD,0.5758907407781219,Mortgages.NumMortCharges,2.88856828102536,92.0,new_charge_events_12m,0.8815964277966774,11.0,segment,0.8400942174257061,Large
3,03188994,CASTLE AIR LIMITED,0.5318884425107343,Mortgages.NumMortCharges,2.8669812322177077,94.0,new_charge_events_12m,0.8882815157644982,4.0,segment,0.8077566456858707,Large
4,01581476,PROUDREED LIMITED,0.525672472227238,Mortgages.NumMortCharges,2.866403285192337,49.0,new_charge_events_12m,1.0005382275542758,3.0,segment,0.8124132073554227,Large
5,03094287,T M TRUSTEES LIMITED,0.5248619544660396,Mortgages.NumMortCharges,3.7333595949672946,684.0,new_charge_events_12m,0.9854717031417163,10.0,Mortgages.NumMortOutstanding,0.6523137146382637,613.0
6,10362628,VIRGIN MEDIA SENIOR INVESTMENTS LIMITED,0.5140772374186816,Mortgages.NumMortCharges,2.906487817635982,17.0,new_charge_events_12m,0.9853957040013045,4.0,segment,0.7521872826267256,Large
7,05879466,NOMAD FOODS EUROPE LIMITED,0.5083735495399625,Mortgages.NumMortCharges,2.720984869100816,65.0,new_charge_events_12m,0.9988250231159421,4.0,segment,0.7846063948579359,Large
8,02599024,MILEGATE LIMITED,0.5001727342610349,Mortgages.NumMortCharges,2.575046951900764,94.0,new_charge_events_12m,0.8822500903725176,3.0,segment,0.6019162149125096,Large
9,04818735,FILM & TV HOUSE LIMITED,0.49713710283691104,Mortgages.NumMortCharges,3.1981492142239487,334.0,new_charge_events_12m,1.0228839826840954,7.0,Mortgages.NumMortSatisfied,0.5591274630885361,270.0
10,10419810,A.S.K. PARTNERS LIMITED,0.4895216483755207,Mortgages.NumMortCharges,2.8003828925009846,67.0,new_charge_events_12m,0.9679406248112987,3.0,segment,0.849482425743462,Large
11,01295221,JET2 PLC,0.48051573289654564,Mortgages.NumMortCharges,2.850760581116631,170.0,new_charge_events_12m,0.9295128692729525,3.0,segment,0.8470889007809191,Large
12,11082181,INTERGLOBE ENTERPRISES (UK) LIMITED,0.47901832391598254,Mortgages.NumMortCharges,3.049395256269022,17.0,new_charge_events_12m,1.0126845493599108,3.0,segment,0.8225437282313034,Large
