rank,CompanyNumber,CompanyName,score,reason_1,contribution_1,value_1,reason_2,contribution_2,value_2,reason_3,contribution_3,value_3
1,07603206,ASH15 LTD,0.924467473259121,months_since_last_accounts_filing,1.8086441145005299,5.0,days_to_next_accounts_due,1.3175646234525853,214.0,months_since_last_confstmt,1.1547425319649027,14.0
2,SC845423,LADA.AI LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
3,16385990,JOBS UK HELPING YOU ACHIEVE YOUR GOALS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
4,16387759,FAD SRL LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
5,16387765,DHANU IT SOLUTIONS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
6,16389331,MAAL ACADEMY LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
7,SC845397,OBOBO LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
8,16384510,STANKNETIC LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
9,16385419,HEXNOVA LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
10,SC845366,DIGIFINITY LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
11,16385728,HALIFAX RECRUITMENT LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
12,16387479,FUNZPAYMENT LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
13,16388001,BRIDGADS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
14,16389695,CCW CONS LIMITED,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
15,16389867,MOTECH GROUP LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
16,16384741,ATMOS SUPPLY LIMITED,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
17,16385301,GLOBAL POSTGRADUATE EDUCATION ALLIANCE,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
18,16389998,CLOWNS ENTERTAINMENTS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
19,16390567,N KAUR CONSULTANCY LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
20,16392997,PINNACLE-CONSULTANCY BUSINESS LIMITED,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
21,16391425,SAIRUS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
22,16392789,VERICHAINX TECH LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
23,16388591,RVCK LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
24,16391407,FIGONDTECH LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
25,16389746,SAHITHI LIMITED,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
26,16391036,NUMBER CORPORATION LIMITED,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
27,16384481,BEYONDTHEORY TECHNOLOGIES LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
28,16384791,UPTIMEASE LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
29,16386465,RIZMOS LTD,0.9161933840127097,accounts_stale_streak_months,1.4155061047877064,15.0,confstmt_late,1.2927163055629436,1.0,months_since_last_confstmt,1.1412543268808568,nan
