target,model,tag,gate,roc_auc,d_roc_auc,precision_at_500,d_precision_at_500
lending,lightgbm,lender_calib_hi,7d / 3d,0.876639119367971,-2.6709276974123952e-05,0.2939999997615814,0.011999994516372736
lending,logistic,lender_calib_hi,7d / 3d,0.8650860446185421,0.0035776802264708696,0.1879999935626983,0.037999987602233914
lending,mlp,lender_calib_hi,7d / 3d,0.8717308263900121,0.004515764636265462,0.1959999948740005,-0.07000000774860382
insolvency,lightgbm,lender_calib_hi,7d / 3d,0.7622401811275685,0.0007201812248125439,0.123999997973442,0.0019999966025351923
insolvency,logistic,lender_calib_hi,7d / 3d,0.7346661711765712,0.002289882763272244,0.0680000036954879,0.010000005364418009
insolvency,mlp,lender_calib_hi,7d / 3d,0.7398121693327915,-0.0038916964014937827,0.0700000002980232,-0.02199999988079071
lending,lightgbm,lender_calib,4d / 1d,0.8810030209806186,0.004337192335673423,0.3319999873638153,0.04999998211860662
lending,logistic,lender_calib,4d / 1d,0.8668093994690536,0.005301035076982319,0.1800000071525573,0.030000001192092896
lending,mlp,lender_calib,4d / 1d,0.8728645925476078,0.005649530793861213,0.2380000054836273,-0.027999997138977023
insolvency,lightgbm,lender_calib,4d / 1d,0.7632470595803762,0.001727059677620213,0.1420000046491623,0.02000000327825549
insolvency,logistic,lender_calib,4d / 1d,0.7346323585131371,0.002256070099838192,0.0719999969005584,0.013999998569488505
insolvency,mlp,lender_calib,4d / 1d,0.7410731749044962,-0.002630690829789062,0.0780000016093254,-0.013999998569488512
lending,lightgbm,lender_calib_lo,2d / 1d,0.8822983419908419,0.005632513345896761,0.4059999883174896,0.12399998307228094
lending,logistic,lender_calib_lo,2d / 1d,0.8684618418418151,0.006953477449743839,0.1800000071525573,0.030000001192092896
lending,mlp,lender_calib_lo,2d / 1d,0.8749097004250065,0.007694638671259857,0.3260000050067901,0.06000000238418579
insolvency,lightgbm,lender_calib_lo,2d / 1d,0.7621208925210229,0.0006008926182669017,0.1360000073909759,0.014000006020069095
insolvency,logistic,lender_calib_lo,2d / 1d,0.734697992733313,0.0023217043200141063,0.0719999969005584,0.013999998569488505
insolvency,mlp,lender_calib_lo,2d / 1d,0.7418378882927147,-0.0018659774415705765,0.0920000001788139,0.0
