tag,target,model,pooled_p500,p500_2026-01,p500_2026-04,spread,mean_of_origins,p500_2025-10,p500_2025-04,p500_2025-07
refactor_det,lending,lightgbm,0.28200000524520874,0.21799999475479126,0.22599999606609344,0.008000001311302185,0.22199999541044235,,,
refactor_det,lending,logistic,0.15000000596046448,0.13199999928474426,0.14800000190734863,0.01600000262260437,0.14000000059604645,,,
refactor_det,lending,mlp,0.26600000262260437,0.1979999989271164,0.1899999976158142,0.008000001311302185,0.1939999982714653,,,
refactor_det,insolvency,lightgbm,0.12200000137090683,0.11599999666213989,,0.007999993860721588,0.1119999997317791,0.1080000028014183,,
refactor_det,insolvency,logistic,0.057999998331069946,0.0560000017285347,,0.00599999725818634,0.05900000035762787,0.06199999898672104,,
refactor_det,insolvency,mlp,0.09200000017881393,0.09799999743700027,,0.015999995172023773,0.08999999985098839,0.0820000022649765,,
refactor_det,voluntary_exit,lightgbm,0.8460000157356262,0.8159999847412109,,0.06600004434585571,0.8490000069141388,0.8820000290870667,,
refactor_det,voluntary_exit,logistic,0.29600000381469727,0.40400001406669617,,0.04599997401237488,0.4270000010728836,0.44999998807907104,,
refactor_det,voluntary_exit,mlp,0.6800000071525574,0.7120000123977661,,0.11000001430511475,0.7670000195503235,0.8220000267028809,,
refactor_det,growth,lightgbm,0.20200000703334808,,,0.01000000536441803,0.17099999636411667,,0.16599999368190765,0.17599999904632568
refactor_det,growth,logistic,0.09799999743700027,,,0.0040000006556510925,0.12199999764561653,,0.12399999797344208,0.11999999731779099
refactor_det,growth,mlp,0.12800000607967377,,,0.013999998569488525,0.11699999868869781,,0.12399999797344208,0.10999999940395355
lender_calib,lending,lightgbm,0.3319999873638153,0.24799999594688416,0.23199999332427979,0.01600000262260437,0.23999999463558197,,,
lender_calib,lending,logistic,0.18000000715255737,0.17599999904632568,0.17000000178813934,0.00599999725818634,0.1730000004172325,,,
lender_calib,lending,mlp,0.23800000548362732,0.21199999749660492,0.1860000044107437,0.025999993085861206,0.19900000095367432,,,
lender_calib,insolvency,lightgbm,0.1420000046491623,0.10599999874830246,,0.0040000006556510925,0.107999999076128,0.10999999940395355,,
lender_calib,insolvency,logistic,0.07199999690055847,0.0820000022649765,,0.020000003278255463,0.07200000062584877,0.06199999898672104,,
lender_calib,insolvency,mlp,0.07800000160932541,0.07400000095367432,,0.009999997913837433,0.0690000019967556,0.06400000303983688,,
lender_calib,voluntary_exit,lightgbm,0.8640000224113464,0.8299999833106995,,0.06600004434585571,0.8630000054836273,0.8960000276565552,,
lender_calib,voluntary_exit,logistic,0.2939999997615814,0.39399999380111694,,0.04399999976158142,0.41599999368190765,0.43799999356269836,,
lender_calib,voluntary_exit,mlp,0.5379999876022339,0.5400000214576721,,0.1119999885559082,0.5960000157356262,0.6520000100135803,,
lender_calib,growth,lightgbm,0.18799999356269836,,,0.013999998569488525,0.17499999701976776,,0.18199999630451202,0.1679999977350235
lender_calib,growth,logistic,0.1420000046491623,,,0.009999990463256836,0.14100000262260437,,0.13600000739097595,0.1459999978542328
lender_calib,growth,mlp,0.1080000028014183,,,0.008000001311302185,0.10199999809265137,,0.10599999874830246,0.09799999743700027
