tag,target,model,n_features,base_rate,roc_auc,roc_auc_ci,precision_at_500,precision_at_500_ci,pr_auc,train_rows
baseline,lending,lightgbm,41,0.0027111421804875,0.8766658286449451,not recorded,0.2820000052452087,not recorded,0.0567161855358872,214708
baseline,lending,logistic,41,0.0027111421804875,0.8615083643681878,not recorded,0.1500000059604644,not recorded,0.0403243422208818,214708
baseline,insolvency,lightgbm,41,0.0032939848024398,0.761519999902756,not recorded,0.1220000013709068,not recorded,0.016922649690566,165674
baseline,insolvency,logistic,41,0.0032939848024398,0.7323762884132989,not recorded,0.0579999983310699,not recorded,0.0118525341980513,165674
baseline,voluntary_exit,lightgbm,41,0.0772758945822715,0.7928926323742399,not recorded,0.8479999899864197,not recorded,0.3512033580331128,3779912
baseline,voluntary_exit,logistic,41,0.0772758945822715,0.7703665915861443,not recorded,0.2960000038146972,not recorded,0.3103686395215074,3779912
baseline,growth,lightgbm,41,0.0213706418871879,0.7620188930685061,not recorded,0.202000007033348,not recorded,0.0577645676129409,610789
baseline,growth,logistic,41,0.0213706418871879,0.7289751080497635,not recorded,0.0979999974370002,not recorded,0.0467681507263645,610789
lender,lending,lightgbm,54,0.0027111421804875,0.8950961953909886,not recorded,0.9919999837875366,not recorded,0.2073873048427333,214708
lender,lending,logistic,54,0.0027111421804875,0.881248325883637,not recorded,0.1940000057220459,not recorded,0.0690685945568614,214708
lender,lending,mlp,54,0.0027111421804875,0.8876426829415989,not recorded,0.7900000214576721,not recorded,0.1387044783184679,214708
lender,insolvency,lightgbm,54,0.0032939848024398,0.7620934197073437,not recorded,0.1140000000596046,not recorded,0.0175184661096127,165674
lender,insolvency,logistic,54,0.0032939848024398,0.7347130327302047,not recorded,0.0740000009536743,not recorded,0.0127982440455914,165674
lender,insolvency,mlp,54,0.0032939848024398,0.7430219056014692,not recorded,0.096000000834465,not recorded,0.0138193075118203,165674
lender,voluntary_exit,lightgbm,54,0.0772758945822715,0.7931207281524251,not recorded,0.8460000157356262,not recorded,0.3511091268671488,3779912
lender,voluntary_exit,logistic,54,0.0772758945822715,0.7705073065718526,not recorded,0.2879999876022339,not recorded,0.3097030424196955,3779912
lender,voluntary_exit,mlp,54,0.0772758945822715,0.7800195846747127,not recorded,0.6499999761581421,not recorded,0.3347494535975585,3779912
lender,growth,lightgbm,54,0.0213706418871879,0.7614674368068253,not recorded,0.1780000030994415,not recorded,0.0572723215125735,610789
lender,growth,logistic,54,0.0213706418871879,0.7315176397666191,not recorded,0.1360000073909759,not recorded,0.0473802321825551,610789
lender,growth,mlp,54,0.0213706418871879,0.6998155007335175,not recorded,0.1180000007152557,not recorded,0.0437017212086202,610789
lender_asof21,lending,lightgbm,54,0.0027111421804875,0.8762658118943571,not recorded,0.3100000023841858,not recorded,0.055792239330897,214708
lender_asof21,lending,logistic,54,0.0027111421804875,0.862469219832892,not recorded,0.1879999935626983,not recorded,0.0429238056514694,214708
lender_asof21,lending,mlp,54,0.0027111421804875,0.8679907936019935,not recorded,0.2300000041723251,not recorded,0.0465315066939327,214708
lender_asof21,insolvency,lightgbm,54,0.0032939848024398,0.7626132446533718,not recorded,0.1260000020265579,not recorded,0.0176962554960937,165674
lender_asof21,insolvency,logistic,54,0.0032939848024398,0.7346089618761109,not recorded,0.0680000036954879,not recorded,0.0127666841766331,165674
lender_asof21,insolvency,mlp,54,0.0032939848024398,0.7392339070394075,not recorded,0.0780000016093254,not recorded,0.0128031729209625,165674
lender_asof21,voluntary_exit,lightgbm,54,0.0772758945822715,0.7927296650263288,not recorded,0.8259999752044678,not recorded,0.3505347553792581,3779912
lender_asof21,voluntary_exit,logistic,54,0.0772758945822715,0.7705098625207836,not recorded,0.2960000038146972,not recorded,0.3101717158912095,3779912
lender_asof21,voluntary_exit,mlp,54,0.0772758945822715,0.7784154044051252,not recorded,0.7559999823570251,not recorded,0.3384748560504142,3779912
lender_asof21,growth,lightgbm,54,0.0213706418871879,0.7619946326620627,not recorded,0.209999993443489,not recorded,0.0577724100501719,610789
lender_asof21,growth,logistic,54,0.0213706418871879,0.7385847800619267,not recorded,0.1700000017881393,not recorded,0.0483337958370971,610789
lender_asof21,growth,mlp,54,0.0213706418871879,0.7006689419432235,not recorded,0.0820000022649765,not recorded,0.0413014752943189,610789
lender_asof21_det,lending,lightgbm,54,0.0027111421804875,0.8762658118943571,"[0.8715, 0.8806]",0.3100000023841858,"[0.266, 0.348]",0.055792239330897,214708
lender_asof21_det,lending,logistic,54,0.0027111421804875,0.8624692198090085,"[0.8577, 0.8671]",0.1879999935626983,"[0.150, 0.224]",0.0429238056514694,214708
lender_asof21_det,lending,mlp,54,0.0027111421804875,0.86799079357811,"[0.8634, 0.8726]",0.2300000041723251,"[0.188, 0.272]",0.046531506692513,214708
lender_asof21_det,insolvency,lightgbm,54,0.0032939848024398,0.7626132446533718,"[0.7577, 0.7667]",0.1260000020265579,"[0.096, 0.152]",0.0176962554960937,165674
lender_asof21_det,insolvency,logistic,54,0.0032939848024398,0.7346089618563996,"[0.7297, 0.7393]",0.0680000036954879,"[0.046, 0.092]",0.012766684176115,165674
lender_asof21_det,insolvency,mlp,54,0.0032939848024398,0.739233906881718,"[0.7346, 0.7437]",0.0780000016093254,"[0.056, 0.100]",0.0128031729160975,165674
lender_asof21_det,voluntary_exit,lightgbm,54,0.0772758945822715,0.7928596159020477,"[0.7918, 0.7940]",0.8360000252723694,"[0.800, 0.866]",0.3506962585298469,3779912
