target,model,gate,d_roc_auc,d_precision_at_500
lending,lightgbm,7d / 3d,-2.6709276974123952e-05,0.011999994516372736
lending,logistic,7d / 3d,0.0035776802264708696,0.037999987602233914
lending,mlp,7d / 3d,0.004515764636265462,-0.07000000774860382
insolvency,lightgbm,7d / 3d,0.0007201812248125439,0.0019999966025351923
insolvency,logistic,7d / 3d,0.002289882763272244,0.010000005364418009
insolvency,mlp,7d / 3d,-0.0038916964014937827,-0.02199999988079071
lending,lightgbm,4d / 1d,0.004337192335673423,0.04999998211860662
lending,logistic,4d / 1d,0.005301035076982319,0.030000001192092896
lending,mlp,4d / 1d,0.005649530793861213,-0.027999997138977023
insolvency,lightgbm,4d / 1d,0.001727059677620213,0.02000000327825549
insolvency,logistic,4d / 1d,0.002256070099838192,0.013999998569488505
insolvency,mlp,4d / 1d,-0.002630690829789062,-0.013999998569488512
lending,lightgbm,2d / 1d,0.005632513345896761,0.12399998307228094
lending,logistic,2d / 1d,0.006953477449743839,0.030000001192092896
lending,mlp,2d / 1d,0.007694638671259857,0.06000000238418579
insolvency,lightgbm,2d / 1d,0.0006008926182669017,0.014000006020069095
insolvency,logistic,2d / 1d,0.0023217043200141063,0.013999998569488505
insolvency,mlp,2d / 1d,-0.0018659774415705765,0.0
