target,model,control_roc_auc,lender_roc_auc,d_roc_auc,unpaired_intervals_overlap,d_precision_at_500,paired_lo,paired_hi,paired_excludes_zero
lending,lightgbm,0.8766658286449451,0.876639119367971,-2.6709276974123952e-05,True,0.011999994516372736,-0.0005100463608210121,0.0004709186721067626,False
lending,logistic,0.8615083643920712,0.8650860446185421,0.0035776802264708696,True,0.037999987602233914,,,
lending,mlp,0.8672150617537466,0.8717308263900121,0.004515764636265462,True,-0.07000000774860382,,,
insolvency,lightgbm,0.761519999902756,0.7622401811275685,0.0007201812248125439,True,0.0019999966025351923,-0.00015098348837704889,0.0016984699363300434,False
insolvency,logistic,0.7323762884132989,0.7346661711765712,0.002289882763272244,True,0.010000005364418009,,,
insolvency,mlp,0.7437038657342853,0.7398121693327915,-0.0038916964014937827,True,-0.02199999988079071,,,
voluntary_exit,lightgbm,0.7928921906959574,0.7926659386482884,-0.00022625204766901774,True,0.009999990463256836,-0.0003656024524810675,-9.567940898882748e-05,True
voluntary_exit,logistic,0.7703665912194813,0.7693270131084109,-0.0010395781110703606,True,0.03999999165534979,,,
voluntary_exit,mlp,0.7811426354986286,0.7769169691592328,-0.004225666339395806,False,0.0059999823570251465,,,
growth,lightgbm,0.7620188930685061,0.7615625642882087,-0.0004563287802974436,True,0.009999990463256891,-0.000998393485570112,-1.4383424679076401e-05,True
growth,logistic,0.7289751080497635,0.7382223969498902,0.009247288900126716,False,0.053999997675418895,,,
growth,mlp,0.6941137682941763,0.6959406792609455,0.0018269109667692351,True,-0.03800000250339511,,,
