feature,2023-10,2024-01,2024-04,2024-07,2024-10,2025-01,2025-04,2025-07
d_charges_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
d_outstanding_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
d_satisfied_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
debt_ratio_trend_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
segment_upgraded_12m,1.0,1.0,1.0,1.0,0.1052,0.1074,0.1092,0.1117
segment_downgraded_12m,1.0,1.0,1.0,1.0,0.1052,0.1074,0.1092,0.1117
sic_changed_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
name_changed_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
postcode_changed_12m,1.0,1.0,1.0,1.0,0.0008,0.0006,0.0006,0.0008
d_charges_6m,1.0,1.0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003
d_outstanding_6m,1.0,1.0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003
d_charges_3m,1.0,0.0003,0.0002,0.0002,0.0003,0.0003,0.0002,0.0003
d_outstanding_3m,1.0,0.0003,0.0002,0.0002,0.0003,0.0003,0.0002,0.0003
status_changed,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,1.0
