L_days,pct_admitted_early,pct_held_back_stale,pct_wrong
0,13.89,0.02,13.91
1,10.21,0.02,10.23
2,7.31,0.12,7.43
3,5.07,0.91,5.98
4,2.99,1.99,4.98
5,1.47,3.98,5.45
6,0.87,6.64,7.51
7,0.62,8.94,9.56
8,0.58,11.73,12.3
9,0.39,14.45,14.83
10,0.1,17.22,17.32
11,0.05,20.25,20.31
12,0.05,23.37,23.42
13,0.04,26.89,26.93
14,0.03,30.36,30.4
15,0.03,33.95,33.99
16,0.03,37.02,37.05
17,0.02,39.82,39.84
18,0.02,43.02,43.04
19,0.02,46.15,46.17
20,0.02,49.29,49.31
21,0.02,52.28,52.3
22,0.02,55.82,55.84
23,0.02,58.53,58.55
24,0.02,61.54,61.56
25,0.02,65.0,65.02
26,0.02,67.84,67.86
27,0.02,71.29,71.31
28,0.02,74.91,74.93
29,0.02,78.32,78.34
30,0.02,81.75,81.77
