L_days,pct_admitted_early,pct_held_back_stale,pct_wrong
0,4.57,0.29,4.87
1,1.77,0.33,2.1
2,1.32,3.15,4.47
3,0.95,5.83,6.78
4,0.69,8.19,8.88
5,0.42,11.47,11.9
6,0.21,14.58,14.79
7,0.13,17.04,17.17
8,0.1,20.34,20.44
9,0.04,23.57,23.6
10,0.01,26.35,26.35
11,0.0,29.47,29.47
12,0.0,32.88,32.88
13,0.0,36.34,36.34
14,0.0,39.78,39.79
15,0.0,43.45,43.45
16,0.0,46.75,46.76
17,0.0,49.83,49.83
18,0.0,52.69,52.69
19,0.0,56.36,56.36
20,0.0,60.05,60.05
21,0.0,62.96,62.96
22,0.0,66.64,66.64
23,0.0,69.52,69.52
24,0.0,72.55,72.55
25,0.0,75.97,75.97
26,0.0,79.08,79.08
27,0.0,82.56,82.56
28,0.0,85.76,85.76
29,0.0,88.58,88.58
30,0.0,91.08,91.08
