feature,tag,mean_abs_shap,rank,n_features
competitor_charge_created_6m,lender,0.042,15,54
competitor_charge_created_6m,lender_fixed,0.0233,19,54
competitor_charge_created_6m,lender_asof21,0.0002,48,54
lbg_share_of_outstanding,lender,0.1456,5,54
lbg_share_of_outstanding,lender_fixed,0.0731,10,54
lbg_share_of_outstanding,lender_asof21,0.0022,37,54
months_since_last_lbg_charge_created,lender,0.0063,31,54
months_since_last_lbg_charge_created,lender_fixed,0.0052,31,54
months_since_last_lbg_charge_created,lender_asof21,0.0051,29,54
months_since_last_lbg_satisfaction,lender,0.0022,41,54
months_since_last_lbg_satisfaction,lender_fixed,0.0021,40,54
months_since_last_lbg_satisfaction,lender_asof21,0.0021,38,54
n_charges_outstanding,lender,0.4138,1,54
n_charges_outstanding,lender_fixed,0.2841,3,54
n_charges_outstanding,lender_asof21,0.0017,40,54
n_competitor_lenders,lender,0.0022,42,54
n_competitor_lenders,lender_fixed,0.003,37,54
n_competitor_lenders,lender_asof21,0.0016,41,54
n_distinct_lenders,lender,0.0226,20,54
n_distinct_lenders,lender_fixed,0.0118,25,54
n_distinct_lenders,lender_asof21,0.0028,35,54
primary_lender_group,lender,0.0178,23,54
primary_lender_group,lender_fixed,0.0182,21,54
primary_lender_group,lender_asof21,0.0177,20,54
